"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"DWAYNEBOWE","WR","CLE","averageWeighted","Dwayne Bowe",346,2015,52,183,114.7,193.5,-103.662968607668,152.2,6.47514459021845,25.611915,18.2,0.325031525441285,0,0,0,0,0,0,0,0,0,53.74,81,767.3,3.66666666666667,0,0.05,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.32
"JOSHMCCOWN","QB","CLE","cbs","Josh McCown",550,2015,29,183,161.16,212.02,-97.1413475919633,267.2,7.71164105278421,14.047635,82,0.0725388871419594,417,234,183,3196,14.3,14.4,36.5,182,1.7,NA,0,NA,NA,0,0.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.04
"PERCYHARVIN","WR","BUF","espn","Percy Harvin",779,2015,55,183,130.3,183.9,-114.182968607668,157.3,4.68631720831458,10.318896,24.2,0.755862160850809,0,0,0,0,0,0,23,147,1,49,74.6,536,3,0.4,0.05,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.8
"EDDICKSON","TE","CAR","fox","Ed Dickson",350,2015,50,183,38.025,71.2,-102.525330204391,287.7,3.85207144985818,2.335095,23.2,NA,NA,NA,NA,NA,NA,NA,0,0,0,17,23.9,166,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6
"MICHAELCRABTREE","WR","OAK","fp","Michael Crabtree",718,2015,54,183,145.42,162.6,-109.562968607668,143.379310344828,3.72291469585682,7.63538999999999,12.1739,1.31011746020852,NA,NA,NA,NA,NA,NA,0.1,0.8,0,58,103,656.4,3.7,0,0.05,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.42
"DUKEJOHNSON","RB","CLE","nfl","Duke Johnson",341,2015,44,183,55.4,154.9,-111.295108438832,111.356578947368,8.93057262252622,45.66408,18.2717,0.617345434208932,0,0,0,NA,NA,NA,102.92,420,3,27.86,54,253,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.16
"MYCOLEPRUITT","TE","MIN","yahoo","MyCole Pruitt",745,2015,52,183,3.92,31.3,-110.825330204391,NA,4.5862657170699,8.221017,NA,0.306724221164248,NA,NA,NA,0,0,0,0,0,0,12.1,17,140,0.9,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3
"KELLENDAVIS","TE","NYJ","average","Kellen Davis",583,2015,64,184,15.6666666666667,65.6,-103.795330204391,NA,5.7473402685262,11.915162,NA,0.0224365868972505,0,0,0,0,0,0,0,0,0,15.6666666666667,10.2,163.3,1.13333333333333,0,0,0.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33
"DARRENSPROLES","RB","PHI","averageRobust","Darren Sproles",265,2015,42,184,108.9,141.6,-105.21946673555,137.633552631579,4.30349373413114,7.605738,23.3869,0.257436673237581,0,0,0,0,0,0,50.35,233,2.00003661092694,42.4,57.1,353.35,1.45007033962003,1,0.05,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.235641703282
"KELLENDAVIS","TE","NYJ","averageWeighted","Kellen Davis",583,2015,64,184,15.6666666666667,65.6,-103.795330204391,NA,5.7473402685262,11.915162,NA,0.0224365868972504,0,0,0,0,0,0,0,0,0,15.6666666666667,10.2,163.3,1.13333333333333,0,0,0.233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.33
