"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"CALVINJOHNSON","WR","yahoo","Calvin Johnson","DET",4,41,0,0,0,0,0,0,89.5,150,1322,10.1,0,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.87
"RANDALLCOBB","WR","yahoo","Randall Cobb","GB",5,42,0,0,0,14.3,107,0.2,93.2,131,1273,8.9,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.03
"DEZBRYANT","WR","yahoo","Dez Bryant","DAL",6,43,0,0,0,0,0,0,87.2,139,1320,10.1,0,0.3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.59
"LAMARMILLER","RB","yahoo","Lamar Miller","MIA",10,44,0,0,0,254,1143,6.3,39.3,49.3,308,1.5,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.99
"ODELLBECKHAM","WR","yahoo","Odell Beckham Jr.","NYG",7,45,0,0,0,8.4,55.1,0.2,100,157,1335,8.3,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.06
"JUSTINFORSETT","RB","yahoo","Justin Forsett","BAL",11,46,0,0,0,228,1052,5,53.6,67.7,414,1.8,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.95
"FRANKGORE","RB","yahoo","Frank Gore","IND",12,47,0,0,0,253,1038,6.8,36.4,46,296,1.6,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.05
"DEMARCOMURRAY","RB","yahoo","DeMarco Murray","PHI",13,48,0,0,0,222,1027,9.3,25.1,31.2,194,0.9,0,0.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.74
"ALFREDMORRIS","RB","yahoo","Alfred Morris","WAS",14,49,0,0,0,263,1122,8.2,20,25.5,154,0.6,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.96
"MARKINGRAM","RB","yahoo","Mark Ingram","NO",15,50,0,0,0,224,926,9.7,28.7,35.1,218,1.1,0,0.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.04
"JOSHMCCOWN","QB","yahoo","Josh McCown","CLE",29,51,2968,12.9,13.8,41.7,204,1.9,0,0,0,0,0,0.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.93
"CARLOSHYDE","RB","yahoo","Carlos Hyde","SF",16,52,0,0,0,250,1043,8.4,22.6,28.7,179,0.6,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.66
"ALSHONJEFFERY","WR","yahoo","Alshon Jeffery","CHI",8,53,0,0,0,7.7,50.8,0.1,86.5,144,1196,8.2,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.65
"AJGREEN","WR","yahoo","A.J. Green","CIN",9,54,0,0,0,4.6,30.5,0.1,85.3,142,1199,8.2,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.58
"TYRODTAYLOR","QB","yahoo","Tyrod Taylor","BUF",30,55,2289,13.3,12.6,60,300,1.9,0,0,0,0,0,0.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.83
"JOSEPHRANDLE","RB","yahoo","Joseph Randle","DAL",17,56,0,0,0,248,1097,7.5,16.2,19.8,132,0.8,0,0.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.17
"ROBGRONKOWSKI","TE","yahoo","Rob Gronkowski","NE",1,57,0,0,0,0,0,0,88.1,138,1090,9.4,0,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.28
"MIKEEVANS","WR","yahoo","Mike Evans","TB",10,58,0,0,0,0,0,0,83.3,141,1244,6.9,0,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.75
"LATAVIUSMURRAY","RB","yahoo","Latavius Murray","OAK",18,59,0,0,0,240,1046,5.7,29.9,38,231,0.8,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.39
"ARIANFOSTER","RB","yahoo","Arian Foster","HOU",19,60,0,0,0,206,942,4.8,39.8,52,312,1.7,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.35
"ANDREELLINGTON","RB","yahoo","Andre Ellington","ARZ",20,61,0,0,0,201,788,4.9,49.6,63.1,451,1.7,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.45
"BRANDINCOOKS","WR","yahoo","Brandin Cooks","NO",11,62,0,0,0,12.2,80.8,0.3,83.9,123,1141,6.1,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.51
"JONATHANSTEWART","RB","yahoo","Jonathan Stewart","CAR",21,63,0,0,0,235,1079,5.2,26.6,33.4,185,0.9,0,0.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.28
"RYANFITZPATRICK","QB","yahoo","Ryan Fitzpatrick","NYJ",31,64,2428,13.8,11.2,37.7,157,1.2,0,0,0,0,0,0.4,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.67
"MELVINGORDON","RB","yahoo","Melvin Gordon","SD",22,65,0,0,0,253,1115,4.9,20.9,26.4,166,0.8,0,0.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.2
"TYHILTON","WR","yahoo","T.Y. Hilton","IND",12,66,0,0,0,3.9,25.7,0.1,79.9,127,1108,7.7,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.18
"EMMANUELSANDERS","WR","yahoo","Emmanuel Sanders","DEN",13,67,0,0,0,9,59.6,0.2,79.2,122,1100,6.8,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.59
"TJYELDON","RB","yahoo","T.J. Yeldon","JAC",23,68,0,0,0,226,961,6.2,28.6,35.6,227,0.8,0,0.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5
"TODDGURLEY","RB","yahoo","Todd Gurley","STL",24,69,0,0,0,215,986,6,21,25.7,168,0.6,0,0.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.45
"PHILDAWSON","K","yahoo","Phil Dawson","SF",1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,9.4,9,9.3,5.3,149.94
"KEENANALLEN","WR","yahoo","Keenan Allen","SD",14,71,0,0,0,0,0,0,84,127,1133,6.1,0,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.38
"BUFFALOBILLS","DST","yahoo","Buffalo Bills","BUF",1,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2,0.1,16.6,10.4,0.7,4.3,NA,NA,NA,NA,NA,147.73
"JULIANEDELMAN","WR","yahoo","Julian Edelman","NE",15,73,0,0,0,9,59.5,0.2,93.2,132,993,6.4,0.7,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.99
"SEATTLESEAHAWKS","DST","yahoo","Seattle Seahawks","SEA",2,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,0.9,13.6,10.8,0.5,6.3,NA,NA,NA,NA,NA,145.89
"LEGARRETTEBLOUNT","RB","yahoo","LeGarrette Blount","NE",25,75,0,0,0,203,918,7.8,8.3,10.8,65.1,0.4,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.15
"STEPHENGOSTKOWSKI","K","yahoo","Stephen Gostkowski","NE",2,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,7.4,9.2,9,1.9,145
"CJSPILLER","RB","yahoo","C.J. Spiller","NO",26,77,0,0,0,97.9,450,2.7,67.8,81.9,566,2.7,2.4,0.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.39
"TEVINCOLEMAN","RB","yahoo","Tevin Coleman","ATL",27,78,0,0,0,192,799,7,22.6,28,181,0.9,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.7
