"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"AARONRIPKOWSKI","RB","fp","Aaron Ripkowski","GB",181,601,NA,NA,NA,NA,NA,0.7,3.2,0,0.4,3.2,0,NA,NA,0,NA,NA,0.6
"SPENCERWARE","RB","fp","Spencer Ware","KC",182,602,NA,NA,NA,NA,NA,0.9,3.9,0,0.3,2,0,NA,NA,0,NA,NA,0.6
"JORDANCAMPBELL","RB","fp","Jordan Campbell","WAS",183,603,NA,NA,NA,NA,NA,0.5,2.1,0,0.3,3.3,0,NA,NA,0,NA,NA,0.5
"NIKITAWHITLOCK","RB","fp","Nikita Whitlock","NYG",184,604,NA,NA,NA,NA,NA,0.6,2.2,0,0.3,2.7,0,NA,NA,0,NA,NA,0.5
"ASANTECLEVELAND","TE","fp","Asante Cleveland","NE",114,605,NA,NA,NA,NA,NA,NA,NA,NA,0.7,3.3,0,NA,NA,0,NA,NA,0.4
"BRYCEPETTY","QB","fp","Bryce Petty","NYJ",71,606,0.7,0.4,4.7,0,0,0,0.1,0,NA,NA,NA,NA,NA,0,NA,NA,0.3
"MALCOLMBROWN","RB","fp","Malcolm Brown","STL",185,607,NA,NA,NA,NA,NA,0.5,1.7,0,0.1,1.1,0,NA,NA,0,NA,NA,0.3
"TONYCREECY","RB","fp","Tony Creecy","NE",186,608,NA,NA,NA,NA,NA,0.7,2.1,0,0.1,0.7,0,NA,NA,0,NA,NA,0.3
"ROOSEVELTNIX","RB","fp","Roosevelt Nix","PIT",187,609,NA,NA,NA,NA,NA,0.1,0.4,0,0,0.5,0,NA,NA,0,NA,NA,0.1
"TOMSAVAGE","QB","fp","Tom Savage","HOU",72,610,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"BRETTHUNDLEY","QB","fp","Brett Hundley","GB",73,611,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"GARRETTGRAYSON","QB","fp","Garrett Grayson","NO",74,612,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"TIMTEBOW","QB","fp","Tim Tebow","PHI",75,613,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"JOEWEBB","QB","fp","Joe Webb","CAR",76,614,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
"CHARLIEWHITEHURST","QB","fp","Charlie Whitehurst","TEN",77,615,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,0
