"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"CARSONPALMER","Carson Palmer","QB","ARI",24,230.605102582729,205.94,256.84,255.68,227.94,NA,241.684,224.62,225.7,219.44,225.4,230.54,224.5,247.46,261.3,NA,213.5,566.500026497965,354.606578947368,213.5,20.0000094168979,229.976695238095,230.605102582729,135.8,16.9830613168624,17.9,5.31689114383262
"CALVINJOHNSON","Calvin Johnson","WR","DET",25,225.717569674968,181.98,231.8,231,238.4,227.4,229.66,230.5,219.7,220.3,218,239.2,227,180.4,238.7,NA,203.8,0,0,0,0,221.761222222222,225.717569674968,6.1,18.6768349516058,1.4,3.85024594623959
"SAMBRADFORD","Sam Bradford","QB","STL",26,224.80449062924,240.42,248.22,258.86,183.94,NA,228.708,243.2,211.5,215.9,231.4,218.86,211.5,248.4,239.7,NA,213.96,519.000052938135,312.9,209.5,30.5000437931389,226.502842857143,224.80449062924,164,20.0460612272156,18.9,5.72662185588491
"JOEFLACCO","Joe Flacco","QB","BAL",27,224.345325245724,188.6,242.22,229.16,220.3,NA,229.066,218.1,226.96,229.02,235,226.36,232.6,251.14,238.3,NA,225.02,574.3,340.675,230.000078292285,30.9999530742793,226.20220952381,224.345325245724,158.5,14.2498320152042,18.7,5.11930800194853
"EDDIELACY","Eddie Lacy","RB","GB",28,222.539889221647,241.72,244.9,195.9,218.1,220.6,216.38,242.7,206.6,213.4,222,217.1,235.5,250.3,234.6,NA,223.1,0,0,0,286.56263979809,225.059166666667,222.539889221647,5.2,15.499820582679,1.3,3.51832215764004
"ELIMANNING","Eli Manning","QB","NYG",29,220.902435101728,168,232.34,228.38,227.18,NA,226,193.3,219.74,223.4,221.8,231.5,211.5,259.08,233.86,NA,211.81,558.5,332.499807397651,222.500045886674,20.5000465289251,218.998357142857,220.902435101728,147.8,20.991363647991,21.6,6.09051683360761
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",30,216.425242894883,263.36,214,224.6,218,219.7,219.36,233,222.9,207.3,210,210.5,233,166.4,218.3,NA,196.4,0,0,0,0,217.233416666667,216.425242894883,9.2,20.6124240851644,2.6,4.16557039780759
"JOSHMCCOWN","Josh McCown","QB","TB",31,208.497945162209,270.88,234.4,229.74,217.3,NA,214.154,179.32,165.26,191.98,178.6,226.52,202.5,271.6,178.34,NA,165.04,460,277.4,180.999984631923,27.4999763452278,210.607076190476,208.497945162209,153.9,35.244524012974,25.4,7.91240166062521
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",32,208.149675401424,NA,258.92,171.16,181.34,NA,188.33,211.5,180.3,212.32,180.3,238.7,214,261.6,270,NA,248.12,425.15,254.999992566912,172,69.9999770241347,211.195256410256,208.149675401424,152,35.2882620856517,26.2,7.99626785273481
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",33,207.558031968963,250.64,202.3,185.4,234.4,203.8,204.71,225.4,206.6,204.1,213,203.2,214.5,176.7,231.2,NA,204.9,0,0,0,274.24779908852,208.013513888889,207.558031968963,11.9,18.7337654161321,4.2,4.13403240558472
"EJMANUEL","EJ Manuel","QB","BUF",34,207.381582308947,211.02,211.32,189.14,184.72,NA,197.846,206.52,219.62,212.1,200.2,225.74,213.6,253.34,240.12,NA,221.78,477.45,282.891799544556,195,78.7,208.405995238095,207.381582308947,174.5,18.5153619124027,17.8,5.46226268558701
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",35,206.949833146893,290.56,238.2,192,195.4,208.8,208.4,211.6,212.6,191.4,201,198.3,203.5,234.9,206.9,NA,195.3,0,0,0,232.220451656096,210.194111111111,206.949833146893,12.4,25.6163595792852,4.6,4.87130911118314
"MONTEEBALL","Montee Ball","RB","DEN",36,205.579120611736,156.1,235.8,194.1,187.6,211.1,206.51,222.7,210.1,214.5,228.5,203.6,203,221,213.8,NA,190.7,0,0,0,249.456287755808,204.837291666667,205.579120611736,11.7,19.4345923058663,4.4,4.22492046234092
"JAKELOCKER","Jake Locker","QB","TEN",37,204.998074609847,285.3,242.92,207.66,166.72,NA,192.15,158.32,140.16,217.2,201,225.32,202.5,227.64,261.14,NA,239.02,436.2,254.5,174.8,47.4999497324583,210.352714285714,204.998074609847,165.5,39.8455464509903,18.4,7.68368019674076
"DEZBRYANT","Dez Bryant","WR","DAL",38,203.296174598979,285.84,199.5,205.3,205.5,197.8,199.1,220.5,194.6,197.1,201.5,199.8,210,167.4,215.1,NA,206.9,0,0,0,1.00000080706097,206.174777777778,203.296174598979,10.6,24.7603033291674,2.3,4.55617599162303
"LEVEONBELL","Le'Veon Bell","RB","PIT",39,197.57499752557,206.62,205.3,187.5,197.1,201.8,205.53,185.3,205.6,181.9,186.5,193.1,194,208.4,213.6,NA,180,0,0,0,267.626293936716,195.470236111111,197.57499752557,20.9,10.739882725262,7.8,3.68129153237155
"ARIANFOSTER","Arian Foster","RB","HOU",40,197.449852930416,187.16,198,180.6,188.1,NA,198.04,176.6,196.9,207.9,198,199.2,200,209.8,214.8,NA,193.4,0,0,0,252.65,195.09980952381,197.449852930416,21.4,10.6846070854959,11.2,4.0132807141608
"AJGREEN","A.J. Green","WR","CIN",41,195.747273792928,226.56,193.4,194.8,199.6,196.6,194.52,204.7,190.7,195.1,199,199.6,197,160.2,216.3,NA,181.8,0,0,0,0,196.983027777778,195.747273792928,14.4,14.5750186800501,3.5,3.64303377660966
"JULIOJONES","Julio Jones","WR","ATL",42,193.909671968791,210.34,194.2,201.3,194.6,197.7,202.42,208.7,208.1,183.3,185,195.5,183,189.5,202.6,NA,192.82,0,0,0,2.31240900088311,195.928402777778,193.909671968791,15.2,8.99483174357576,4.3,3.15690769481478
"JIMMYGRAHAM","Jimmy Graham","TE","NO",43,192.82685575588,253.78,202.9,201.8,189.5,189.5,195.43,220,180.6,186.4,195,184.1,187,160.6,192.5,NA,184.2,0,0,0,0,195.356958333333,192.82685575588,9.1,20.7357746304258,3.4,4.25750541981895
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",44,191.425123153649,159.52,231.7,188.4,182.5,199.1,200.81,163.4,201.4,197.1,208,197.9,214,200.6,213.1,NA,176,0,0,0,219.000062640628,193.708069444444,191.425123153649,17.2,19.1862223135944,5,4.25932279377577
"DOUGMARTIN","Doug Martin","RB","TB",45,191.349232411686,230.76,204.3,180.4,204.8,NA,196.88,202.4,194.2,172.1,176.5,176.5,193,210.2,196.2,NA,180.2,0,0,0,269.5,192.503547619048,191.349232411686,24,16.1442696260389,7.1,4.15952920694873
"GENOSMITH","Geno Smith","QB","NYJ",46,189.605782516448,193.78,207.74,188.78,153.86,NA,180.596,181.14,199.34,226.5,196.8,150.9,204.5,206.84,186.88,NA,217.38,422.2,247.327602149246,176,54.6000074796003,184.236661904762,189.605782516448,169.1,21.4181962959402,14.1,5.3890898867817
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",47,189.081122125558,200.26,188.3,195.8,195,192.6,189.71,206,177.4,183.1,189,179.2,193,148.6,203,NA,190.8,0,0,0,0,189.539569444444,189.081122125558,15.5,13.6907063715639,3.2,3.52362006877038
"ALFREDMORRIS","Alfred Morris","RB","WAS",48,187.126664805564,229.8,206.2,186.1,188.9,NA,191.99,172.8,183.6,177,178,173.2,181,221,192.3,NA,175.3,0,0,0,269.3403125,187.401238095238,187.126664805564,21.6,17.6759638902819,6.6,4.26512265606254
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",49,185.747173563066,184.56,182.5,169.6,190.9,186.6,184.75,181.4,175.4,180.4,181.5,171.8,181,152.8,187.6,NA,175.01,0,0,0,11.4999912635844,181.112736111111,185.747173563066,23.3,9.34650955985072,5.6,3.32162978938878
"ANTONIOBROWN","Antonio Brown","WR","PIT",50,183.754596241339,165.7,185.5,171.5,190.2,185.5,184.69,181,187.6,178.7,179,173.2,187,173.7,189.9,NA,167.86,0,0,0,6.0000480186805,183.229611111111,183.754596241339,24.5,8.03995469070389,5,3.12963375674555
"JORDYNELSON","Jordy Nelson","WR","GB",51,183.133186374875,187.8,187.2,192,188.6,185.3,185.06,183.8,169.9,190.8,183,180.3,196,164.7,190,NA,168.2,0,0,0,0,183.568527777778,183.133186374875,20.7,9.14553713697613,4.3,3.1721818867242
"ZACSTACY","Zac Stacy","RB","STL",52,181.637579584327,158.06,205.9,181.7,185.4,NA,190.62,184,203.3,168.5,172,171.6,177.5,192.3,187.4,NA,189.7,0,0,0,272.334016597682,181.727166666667,181.637579584327,22,13.1986703459515,6.5,3.80141384495774
"ANDREELLINGTON","Andre Ellington","RB","ARI",53,179.99765922374,138.16,196,170,168.4,NA,180.7,211,192.1,164.9,173.5,170.3,185,184.1,191.6,NA,186,0,0,0,195.15,178.14369047619,179.99765922374,26.3,17.3668910716485,6.6,4.23379771513459
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",54,179.083313295057,233.1,198.84,95.52,166.6,NA,150.228,178.02,153,202.04,202,151.78,167.9,236.46,160.32,NA,198.74,429,266.525,169.000084811281,36.5000273533951,180.1212,179.083313295057,178.5,37.1097833337372,18.9,7.45605276916034
"TOBYGERHART","Toby Gerhart","RB","JAC",55,172.932036650433,146.68,195.4,174.7,154.4,NA,184.39,200.6,218.4,166.6,174,165.4,187.5,158.4,175.5,NA,174.2,0,0,0,254.799821939556,173.171,172.932036650433,36,19.2498257591658,8.9,4.65300632905216
"RANDALLCOBB","Randall Cobb","WR","GB",56,170.699061525156,229.52,169.2,157.3,183.6,175.8,172.16,165.6,163.1,177.7,164.5,170.3,171.5,140.6,179.3,NA,162.46,0,0,0,8.5,175.309791666667,170.699061525156,29,18.9423051848049,4,4.1353098682113
"RYANMATHEWS","Ryan Mathews","RB","SD",57,168.843063590042,154.48,179.8,167.9,166.1,NA,168.33,162,160,167.6,174,170.7,184.5,202.1,183.1,NA,159.1,0,0,0,255.104994741877,170.012952380952,168.843063590042,38.4,12.5541915639429,8.7,3.95453658475319
"VINCENTJACKSON","Vincent Jackson","WR","TB",58,166.805617793128,282.22,169.5,161.8,172.7,NA,166.47,177.9,160.9,164.3,157.5,162.8,168,159.1,182.2,NA,153,0,0,0,0.75,175.085359307359,166.805617793128,34.4,32.0858119769436,5,5.56671334978102
"MATTSCHAUB","Matt Schaub","QB","OAK",59,165.694654952446,189.14,192.12,137.42,127.1,NA,162.322,211.66,200.2,159.92,155.3,132.86,180,233.76,173.98,NA,97.87,444.64997537095,269.75,178.15,25.4,165.641680952381,165.694654952446,192.1,36.6852010069875,15.1,7.03571270457307
"REGGIEBUSH","Reggie Bush","RB","DET",60,165.337523302158,143.78,180.6,154.5,184,NA,164.25,173.3,144.6,170.9,188,162.8,180,177.2,192.4,NA,137.5,0,0,0,188.000017922592,165.370595238095,165.337523302158,42.7,17.4593851615623,12.8,4.85878003651817
"CJSPILLER","C.J. Spiller","RB","BUF",61,163.197328954055,137.54,178.3,151.3,167.7,NA,165.4,182.6,153,166.2,177,165.5,161.5,174.2,180,NA,160.9,0,0,0,206.4,163.745,163.197328954055,38.6,12.5739882384143,12.5,4.3338510855197
"FRANKGORE","Frank Gore","RB","SF",62,162.856189426517,133.24,171.1,149.1,173.3,NA,165.18,196.2,174.8,152.4,150,152.4,158,141.4,178.5,NA,161.3,0,0,0,239.500067877741,159.640214285714,162.856189426517,48.4,16.5953908601816,13.5,4.84071718609623
"RASHADJENNINGS","Rashad Jennings","RB","NYG",63,162.44634899624,161.88,165.9,150.3,159.8,NA,161.8,159.2,188.3,161.5,160,167,155,159.7,184.5,NA,149.5,0,0,0,208.406207972195,161.902142857143,162.44634899624,43.4,11.0363030320567,13.9,4.31701288681562
"KEENANALLEN","Keenan Allen","WR","SD",64,160.275230790706,191.94,159.3,152.9,152.5,NA,155.54,160.2,160.9,152,159,162.7,168,153.6,176.9,NA,152.3,0,0,0,0,161.571757575758,160.275230790706,33.9,11.2579018403144,7,3.65436017781675
"BISHOPSANKEY","Bishop Sankey","RB","TEN",65,159.999876964468,NA,191.3,165,129.6,NA,173.91,190.1,191.4,139.8,148,160.6,165,164.9,169.6,NA,133.2,0,0,0,229,161.185695970696,159.999876964468,56.2,20.9915928226223,17.9,5.72316113930155
"ANDREJOHNSON","Andre Johnson","WR","HOU",66,158.326618492991,149.94,164.4,157.9,178.7,NA,161.41,178,144.9,153,151,147.8,168.5,137.4,182.2,NA,150,0,0,0,0,159.39030952381,158.326618492991,39.4,13.7773506799472,12,4.40616766804706
"JOIQUEBELL","Joique Bell","RB","DET",67,157.19878127118,144.58,185,155.2,164.9,NA,163.48,151.3,170.2,164.8,167,155.9,144,183.5,166.3,NA,144.1,0,0,0,176.375,159.057119047619,157.19878127118,49.4,13.1907534214,12.4,4.38643189646015
"CHRISJOHNSON","Chris Johnson","RB","NYJ",68,156.553775924164,150.14,164,147.1,161.2,NA,158.75,178,175.9,153.7,152,150,182.5,183.6,163.4,NA,141.3,0,0,0,227.172636676196,156.950238095238,156.553775924164,62.9,13.7401635745338,13.3,4.53147778600435
"VICTORCRUZ","Victor Cruz","WR","NYG",69,155.014736048293,167.24,152.3,143.1,146.2,NA,149.98,177.9,164.6,153.8,143.5,152.4,173.5,157,178.2,NA,151.5,0,0,0,0,157.137465367965,155.014736048293,38.8,12.1963252437179,10.6,4.10692039834157
"RAYRICE","Ray Rice","RB","BAL",70,153.100032656447,143.36,169.3,152.3,165.1,NA,163.49,144.5,184.3,131.3,134.5,138.1,141,165.2,161.5,NA,146.1,0,0,0,203.25,151.910523809524,153.100032656447,65.4,15.4797090333844,19.4,5.31346179253046
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",71,152.549980589866,75.56,131.5,135.9,139.8,NA,150.63,176.6,159.6,148,142,141.4,148.5,132.3,177.6,NA,142.07,0,0,0,12.7499456156808,150.416826839827,152.549980589866,52.9,24.1391711211794,10.6,5.31734370012941
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",72,151.719804562026,105.12,175.1,164.1,154.8,NA,162.33,157.5,146.4,145.1,140,150.1,148,134.2,175.8,NA,155.12,0,0,0,1.49999839194196,152.1565995671,151.719804562026,41.3,17.8529892378076,8,4.42207265085417
"PIERREGARCON","Pierre Garcon","WR","WAS",73,151.375664661983,136.68,167.6,154.3,150.8,NA,155.3,158.2,142,146.8,151,153.4,148.5,123,178.9,NA,147.35,0,0,0,1.99992825196456,151.808235930736,151.375664661983,39.6,13.1507906627299,8.3,3.97528605614091
"JULIUSTHOMAS","Julius Thomas","TE","DEN",74,150.15644773063,163.36,157.1,158.3,164.3,164.3,158.18,169.5,155.5,144,156,131.3,139,102.2,146.8,NA,128,0,0,0,0,149.144472222222,150.15644773063,37.5,17.9206470971601,8.1,4.43885902485665
"RODDYWHITE","Roddy White","WR","ATL",75,148.528631892131,105.64,160.1,145.6,142.4,NA,149.97,161.6,159.9,147.8,149.5,145.3,150,134.4,168.1,NA,147.3,0,0,0,0,147.869547619048,148.528631892131,40.6,14.9615248128416,10.5,4.37724788959808
"BENTATE","Ben Tate","RB","CLE",76,148.493455697746,95.16,166.7,140.6,175.7,NA,154.01,174.6,142.2,141.7,147,148.9,138.5,171.8,158.9,NA,124.6,0,0,0,218.625,146.156142857143,148.493455697746,57.1,21.662945384856,16.9,5.69191201332068
"MICHAELFLOYD","Michael Floyd","WR","ARI",77,146.909492078204,136.6,155.8,149.8,137.6,NA,151.14,134.7,159.7,146.7,153,143.7,141,152.9,153.4,NA,142.5,0,0,0,0,146.991010822511,146.909492078204,50,7.79792265941371,9.6,3.56184485052693
"MICHAELCRABTREE","Michael Crabtree","WR","SF",78,146.691534784453,117.8,171.4,168.5,141.5,NA,160.15,161.6,151.6,129.8,131.5,141.9,152,127.6,170,NA,127.48,0,0,0,0,147.054621212121,146.691534784453,48.3,18.0156421198083,12.5,4.88536993838659
"TRENTRICHARDSON","Trent Richardson","RB","IND",79,146.679663825752,124.52,172,143.3,173.3,NA,162.33,169.3,177.4,143.7,148,140.1,127,110.1,159.2,NA,144.2,0,0,0,225.662706089505,148.254738095238,146.679663825752,68.5,20.3339033322497,19.7,5.83522831608941
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",80,146.219645042131,142.56,161.4,162.3,140,140,149.45,197.1,121.7,168.2,148,128.9,155,105.2,147.3,NA,166,0,0,0,0,148.671347222222,146.219645042131,37.4,21.733726194229,14.3,5.4409275813931
"PERCYHARVIN","Percy Harvin","WR","SEA",81,145.900176237201,-0.02,132.8,113.8,129.7,NA,143.74,132.9,169.2,143.4,134.5,141.1,168,140,157.2,NA,134,0,0,0,16.2777595274327,138.614777056277,145.900176237201,57.5,40.6701317085009,13.7,7.30058248661378
"SHANEVEREEN","Shane Vereen","RB","NE",82,144.076636175934,184.02,180.6,159.4,148.3,NA,158.46,110.5,138,117.9,134,138.7,154.5,163.8,161.6,NA,136,0,0,0,111.525,147.615785714286,144.076636175934,54.1,21.3067315886086,12,5.16928042972806
"WESWELKER","Wes Welker","WR","DEN",83,143.583017357016,162.84,155.3,143.8,135.8,NA,145.03,160.3,144.7,127,121.5,140.7,128,119.7,167.6,NA,145.2,0,0,0,0,144.075333333333,143.583017357016,53.4,15.2003560723187,14,4.74897435653474
"DESEANJACKSON","DeSean Jackson","WR","WAS",84,142.997503330523,132.06,136.6,141.3,147.7,NA,141.39,152.6,132.2,141.5,151.5,138.1,147,116.5,155.9,NA,143.03,0,0,0,3.25002732091216,142.809474025974,142.997503330523,56.4,10.1408942536512,11.4,3.97803301613493
"TORREYSMITH","Torrey Smith","WR","BAL",85,141.197047904451,121.48,137.3,140.5,142.8,NA,142.05,168,147.8,130.6,129,137.7,149,146.6,151.9,NA,137.7,0,0,0,1.50004242333917,141.547543290043,141.197047904451,53.2,11.2918855675361,10.1,3.96560843495807
"STEVANRIDLEY","Stevan Ridley","RB","NE",86,140.477675209088,162.04,170,128.2,164.7,NA,149.1,131.8,141.5,148.9,131,121.3,133.5,150.2,130.4,NA,131.64,0,0,0,208.900011461758,141.164452380952,140.477675209088,74.1,15.2459179188009,16.5,5.00182111121381
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",87,137.688865727461,NA,228.34,209.38,100.1,NA,163.876,119.5,70.7,123.16,165.2,150.14,148.1,NA,137.9,NA,104.87,352.95,204.5,140.499943801419,33,140.442256410256,137.688865727461,186.3,44.9100399583501,26.1,8.96151866748846
"MIKEWALLACE","Mike Wallace","WR","MIA",88,136.054884351392,115.68,132.4,134.7,131.7,NA,136.28,133.3,139.5,133.3,139,138,143,126.4,153.4,NA,147.41,0,0,0,3.43578845149849,135.9624004329,136.054884351392,64.8,9.03011436165763,12.8,4.00446223840111
"LAMARMILLER","Lamar Miller","RB","MIA",89,135.807871406761,83.96,156.6,134.4,84.1,NA,121.98,148,122.7,145.7,147,141.7,109.5,143.1,150.5,NA,147.4,0,0,0,179.034834691356,132.314023809524,135.807871406761,68.5,23.7980189405443,17.1,5.92816287579295
"MARQUESCOLSTON","Marques Colston","WR","NO",90,135.740036122644,166,128.5,133.8,126.7,NA,133.37,133.5,148.7,118.5,128,133.5,138.5,142.7,138.7,NA,139.6,0,0,0,0,136.736214285714,135.740036122644,72.1,11.3249048949261,14.7,4.42569634948644
"TYHILTON","T.Y. Hilton","WR","IND",91,135.288772282118,45.04,126.5,126.9,141.3,NA,135.41,127.3,148.8,132.3,125,130.8,141,136.3,150.3,NA,138.36,0,0,0,2.74996269277576,132.082095238095,135.288772282118,67.5,25.4436561427812,17,6.085021233261
"CHADHENNE","Chad Henne","QB","JAC",92,135.190679805465,235.1,185.74,65.6,125.3,NA,125.19,141.54,131.64,138.76,99.8,101.46,83.5,231.24,143.58,NA,156.89,367.999934293284,214.825,153,17.9999575647879,138.973095238095,135.190679805465,195.1,49.6876036013848,19.1,8.75068988935684
