"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"MARCEDESLEWIS","Marcedes Lewis","TE","JAC",204,75.4861584721435,68.48,83.1,91.1,56,NA,79.18,81.3,78.6,72,71.8,72.2,62.5,66.4,78,NA,78,0,0,0,0,76.6723333333333,75.4861584721435,183.8,9.04925581300644,21.6,5.12873986549763
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",205,75.4725677164349,43.93,130.6,103.2,59.3,NA,62.36,83.9,85.7,50.1,48.3,54.9,85.8,NA,96.5,NA,49.8,0,0,0,79.1661768636771,75.1924175824176,75.4725677164349,173.7,26.410335292389,37.5,8.50619001777285
"TRAVISKELCE","Travis Kelce","TE","KC",206,74.8179138513888,NA,91.3,65.3,54.5,NA,67.85,66.5,67.4,84.6,101,71.3,100,34.3,72.7,NA,77.3,0,0,0,0,70.3946428571429,74.8179138513888,137.114341846758,18.260432564315,12.0239,4.91803751432122
"EDDIEROYAL","Eddie Royal","WR","SD",207,73.7366459225692,103.12,79.2,43.4,71.4,NA,63.95,98.6,64.6,48.4,39.4,59.4,64,87.5,80.9,NA,56.71,0,0,0,2.00001410011028,72.3971753246753,73.7366459225692,192,19.4161762172962,1,3.79950825255642
"CJANDERSON","C.J. Anderson","RB","DEN",208,73.2062159107794,NA,90.4,52.6,104,NA,77.74,31.3,73.2,85.1,76,67,63.7,30.5,73.9,NA,50.88,0,0,0,80,71.201972027972,73.2062159107794,178,21.620273842522,16.1,5.68274094848202
"DENARIUSMOORE","Denarius Moore","WR","OAK",209,72.1496528156126,170.3,90.1,54.7,93.7,NA,68.08,81.8,38.5,37.4,20.6,68.1,83.5,90.5,78.3,NA,31.1,0,0,0,0,73.2833333333333,72.1496528156126,183,37.2471392219561,14.9,6.99815499688363
"ANDREBROWN","Andre Brown","RB","HOU",210,71.5469499608456,77.04,NA,NA,45,NA,71.35,NA,NA,NA,NA,NA,NA,114.7,48.9,NA,NA,0,0,0,59.8285340537626,43.5895238095238,71.5469499608456,138,27.8832928471513,6.55,5.20160389953131
"NATEBURLESON","Nate Burleson","WR","CLE",211,71.1769517781483,80.45,71.8,66.4,71.4,NA,73.02,88.7,84.3,62.4,34.1,88.2,65,62.2,78,NA,48.7,0,0,0,1,70.84875,71.1769517781483,NA,15.1148772682799,NA,4.86574487488963
"SCOTTCHANDLER","Scott Chandler","TE","BUF",212,70.7941328086728,67.56,81.6,86.3,64.3,NA,79.15,92.7,85.6,57.2,53,52.1,51.1,60.7,63.9,NA,65.4,0,0,0,0,69.8309285714286,70.7941328086728,241,13.9491685718595,41,7.74000536467542
"BRIANHOYER","Brian Hoyer","QB","CLE",213,70.6509705807854,190.31,44.16,67.98,78.22,NA,60.778,22.2,66.46,32.14,44.9,73.26,55.5,NA,174.38,NA,NA,139.5,77.75,56,9.00002766963325,84.2802424242424,70.6509705807854,198.6,52.5391790940702,37.5,10.9287094585863
"JOHNBROWN","John Brown","WR","ARI",214,69.5696345208013,NA,59.2,113.5,NA,NA,62.39,43.1,52.9,73,93.8,72.3,43.5,NA,NA,NA,62.62,0,0,0,0,65.2558838383838,69.5696345208013,173.9,22.0205582985032,27.7,7.00958959266375
"JORDANTODMAN","Jordan Todman","RB","JAC",215,69.0201903611477,93.96,88.8,47.8,97.6,NA,63.22,66.5,22.6,61.5,52.4,41.2,59.5,112.5,57.2,NA,57.8,0,0,0,62,69.9227965367965,69.0201903611477,189.3,24.3250835581276,21.8,6.56726553473879
"LEVINETOILOLO","Levine Toilolo","TE","ATL",216,68.8644043126243,NA,71.3,74.2,NA,NA,54.87,70.5,56.1,67.4,82.4,52.9,45,75.5,78.5,NA,68.9,NA,0,NA,0,68.0536904761905,68.8644043126243,207.3,11.5731723146354,23.1,5.52951948249698
"ZACHMILLER","Zach Miller","TE","SEA",217,67.882276878922,158.87,78.6,56.3,51.8,NA,65.05,73.4,71.1,67.8,69.8,43.6,71,55.8,75.9,NA,54.8,0,0,0,0,71.8702261904762,67.882276878922,NA,27.2943035557496,NA,7.12416068412271
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",218,67.7974066037181,-1.74,42.2,64.6,73.8,NA,45.26,78.3,66.1,75.8,92.4,60.7,40,81.4,92,NA,77,0,0,0,0,64.1629437229437,67.7974066037181,178.4,25.1719406404114,18.5,6.27887355711422
"MYCHALRIVERA","Mychal Rivera","TE","OAK",219,66.8369606363666,NA,80.5,83.8,66.8,NA,62.71,43.8,67.1,45.8,63.2,57.3,72.2,37.9,70.9,NA,60.7,0,0,0,0,65.8998151848152,66.8369606363666,NA,13.682533597292,NA,4.6001471764051
"JEROMESIMPSON","Jerome Simpson","WR","MIN",220,66.7051835035635,86.84,80.9,72.4,84.4,NA,69.41,74.2,38.7,43,26,59.3,75.4,95.3,73.2,NA,46.7,0,0,0,0,66.5891233766234,66.7051835035635,NA,20.3901276074024,NA,5.84392795858655
"MARLONBROWN","Marlon Brown","WR","BAL",221,66.3271130311029,73.44,82,43.1,66.9,NA,53.73,83.5,14.1,68.6,88.2,60,76,60.8,74.6,NA,50.9,0,0,0,0,65.8889264069264,66.3271130311029,196,19.404748215236,24.9,6.45575068194252
"BRANDONLAFELL","Brandon LaFell","WR","NE",222,65.2475894996882,-0.09,83.6,73.2,94.9,NA,70.68,72.3,23.9,50.2,37.6,51.1,52,49.7,71.2,NA,63.8,0,0,0,1,59.675433982684,65.2475894996882,148.55,24.7526354352221,8.05,5.07812322629044
"LATAVIUSMURRAY","Latavius Murray","RB","OAK",223,65.1151583952866,NA,81,49.3,83.3,NA,70,94.8,NA,58,92.6,52.3,38.5,17.2,45.1,NA,28.09,0,0,0,67.60002230065,62.7795634920635,65.1151583952866,185.8,25.3373573010288,24.3,6.93907831990528
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",224,64.84991911382,NA,83.3,NA,76.4,NA,64.69,65.4,70.7,35.7,46.9,54.7,53,69.8,51.3,NA,43.2,0,0,0,60.9999675597027,62.8368376068376,64.84991911382,181,14.3610809028071,12.6,4.62056476711723
"ROBERTTURBIN","Robert Turbin","RB","SEA",225,64.7314744718405,46.53,78,82.2,32.6,NA,59.8,87.6,29.1,51.4,72.6,40.1,77.5,79.9,70.5,NA,24.18,0,0,0,63.25,61.5178235930736,64.7314744718405,189,21.8128460613626,39.4,8.29118662129781
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",226,64.2271789156342,34.84,65.8,82.2,79.6,NA,75.41,59.9,NA,73.5,72.7,69.9,51.8,11.9,72.1,NA,21.6,0,0,0,0,61.5662562437562,64.2271789156342,140,22.7644171843601,15.6,5.73322739271953
"ALLENROBINSON","Allen Robinson","WR","JAC",227,63.8000604866358,NA,93.8,37.9,54.9,NA,45.41,82.5,35.5,77.6,76.6,73.3,47,83.2,60.3,NA,71.1,0,0,0,0,64.8016923076923,63.8000604866358,178.2,18.9301555657525,16.6,5.48892040330582
"JACEAMARO","Jace Amaro","TE","NYJ",228,62.9695345865317,NA,87.6,82.8,61.8,NA,69.84,89.4,18.6,40.4,59,58.3,57,26.2,61,NA,43,0,0,0,0,60.2589110889111,62.9695345865317,177,21.8730573056771,13.2,5.38374347926968
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",229,62.5997050420211,NA,82.9,41.9,70.3,NA,56.96,81.8,27.3,61.4,79.3,56.4,NA,36.1,68.9,NA,43.8,0,0,0,0.5,62.0851062271062,62.5997050420211,171.75,18.5820000065231,19.7,5.80131234473606
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",230,61.0380144069741,89.86,77.7,57,56.8,NA,61.61,93.9,58.2,57.7,65.6,55.5,51.8,53.8,67,NA,44.8,0,0,0,0,64.0637380952381,61.0380144069741,221,14.2344480201924,37.6,7.38842864903021
"BOBBYRAINEY","Bobby Rainey","RB","TB",231,60.038714447293,33.09,50.7,87.5,56.1,NA,53.82,93.8,39.2,56,43.5,53.3,64.7,28.5,69.1,NA,60.6,0,0,0,64.9442272727273,59.1556006493507,60.038714447293,186.6,18.4949174634012,28.8,6.80501460480282
"BRANDONBOSTICK","Brandon Bostick","TE","GB",232,60.0301381597627,NA,NA,73.3,50.6,NA,51.98,67.3,48.2,61.2,85,NA,38.5,NA,NA,NA,61.4,0,0,0,0,59.7808333333333,60.0301381597627,204,14.195266816795,44.4,8.14084843141245
"BRENTCELEK","Brent Celek","TE","PHI",233,59.7202917550688,58.58,82,65.1,53.5,NA,67.75,75.7,67.6,47.4,65,47.5,40.9,35.9,72.2,NA,47,0,0,0,0,60.5857619047619,59.7202917550688,NA,13.8905548785916,NA,4.63872030286075
"BILALPOWELL","Bilal Powell","RB","NYJ",234,59.4643473727983,16.54,76.4,56.7,58.3,NA,67.21,97.3,78.1,44.6,23.6,45.2,38.5,11.5,45.6,NA,53.5,0,0,0,51.0999902408391,55.0857056277056,59.4643473727983,179.8,24.2368143941819,16.5,5.96980554534975
"TIMWRIGHT","Timothy Wright","TE","TB",235,59.3999302428259,NA,62.6,89.7,NA,NA,51.29,37.4,28,66.8,55.5,62.2,71,53.1,65.2,NA,41.6,NA,0,NA,1,58.6835164835165,59.3999302428259,194.5,16.512643709374,33.8,7.17715024534689
"BRIANQUICK","Brian Quick","WR","STL",236,58.7996837663977,24.8,59.5,88.9,NA,NA,68.29,56.9,49.3,65.7,58.6,53.4,65.5,12.2,43.9,NA,75.9,NA,0,NA,0,56.8869358974359,58.7996837663977,173.6,20.2516572921063,40.8,8.30209983515948
"OWENDANIELS","Owen Daniels","TE","BAL",237,58.3995616360212,71.06,65.4,56.3,58.7,NA,56.05,58.5,39,61.5,66.5,64.4,12.5,50.9,65.2,NA,30.2,0,0,0,0,56.4752619047619,58.3995616360212,205,16.2722816470217,39.6,7.79973348716583
"BRANDONGIBSON","Brandon Gibson","WR","MIA",238,58.0745895070306,33.37,74.2,61.7,NA,NA,64.02,50.1,52.2,45.5,49.3,47.6,41.8,73,76.4,NA,80.2,NA,0,NA,0,58.8642371794872,58.0745895070306,NA,14.9230317604392,NA,4.83017120190936
"AUSTINPETTIS","Austin Pettis","WR","STL",239,57.8743273319274,101.51,62.6,71.5,NA,NA,42.09,73.3,9.3,9.9,NA,24,20,78.9,70.8,NA,NA,0,0,0,0,46.1709340659341,57.8743273319274,NA,31.5761518468376,NA,7.91813846641608
"TEDGINN","Ted Ginn","WR","ARI",240,57.7433062479477,51.38,70.7,48.6,72.8,NA,57.64,90.5,26.7,36.9,39.4,40.9,35,76.7,66.2,NA,40.2,0,0,0,3.00004346869508,59.2638398268398,57.7433062479477,NA,18.9157838040901,NA,5.57054222800653
"JERMICHAELFINLEY","Jermichael Finley","TE","GB",241,56.5405994400498,NA,65.2,NA,48.9,NA,50.68,NA,54.8,NA,16.4,NA,NA,NA,58.1,NA,NA,0,0,0,0,46.4667857142857,56.5405994400498,NA,16.9969487457798,NA,5.21473503900479
"MARCELREECE","Marcel Reece","RB","OAK",242,56.4304958739475,21.86,72.5,67.1,85.2,NA,76.86,63.9,NA,40.3,41.5,42.6,34.1,NA,55.7,NA,53.92,0,0,0,26,56.2637142857143,56.4304958739475,184.7,19.0905449388069,6.9,4.42530423051712
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",243,56.3295877685414,NA,56.7,34.5,69.3,NA,49.6,40.6,21.9,57.9,54.9,61.1,63.5,59,39.2,NA,48.58,0,0,0,64.6499663955163,51.3404155844156,56.3295877685414,191.6,13.3033841848317,30.3,6.49046111219296
"CODYLATIMER","Cody Latimer","WR","DEN",244,55.2522685146366,NA,61.9,47.8,NA,NA,33.57,37.1,3.3,57.7,43,77.4,55.5,NA,62.5,NA,64.1,0,0,0,0,47.8306993006993,55.2522685146366,173,20.0115936851162,37,7.85734259298303
"JARVISLANDRY","Jarvis Landry","WR","MIA",245,55.1899900959622,NA,64.3,67.7,66.8,NA,54.76,84.5,12,58.1,65.2,47.2,74.6,2.7,27.4,NA,19.7,0,0,0,0,52.3628201798202,55.1899900959622,222,25.8694859354434,44,9.17874269564391
"JOSHGORDON","Josh Gordon","WR","CLE",246,54.8634008096769,NA,NA,NA,62.2,NA,51.4,NA,51.4,NA,NA,21.1,NA,NA,66.8,NA,NA,0,0,0,0,30.9433333333333,54.8634008096769,113.48978306508,17.8082003582619,14.7065,5.17437177650614
"CHRISPOLK","Chris Polk","RB","PHI",247,54.7189627366625,NA,85,48,45.4,NA,61.88,48.4,67.5,61.8,79,36.3,54.6,2.3,42.7,NA,49.91,0,0,0,60,55.2130769230769,54.7189627366625,104.05,20.6862998761041,11.8,5.1180561491287
"PAULRICHARDSON","Paul Richardson","WR","SEA",248,54.3822003123141,NA,71.8,55.7,NA,NA,47.97,37.5,NA,61.3,64.5,41.3,73.5,NA,33.6,NA,30.9,NA,0,NA,0,54.3706060606061,54.3822003123141,219.5,15.7589424701589,47.5,8.63049461016043
"ANDREWQUARLESS","Andrew Quarless","TE","GB",249,53.9754554385238,83.68,71.7,42.2,58.3,NA,51.41,66.9,27.9,36.1,21.9,64.8,53,63.7,80.1,NA,20,0,0,0,0,55.276619047619,53.9754554385238,NA,20.7390075345105,NA,5.90862032785813
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB","CIN",250,53.7801605019508,117.56,73.2,52.7,51.2,NA,54.71,66.6,36.5,48.6,11.9,76.5,71.4,25,31.8,NA,20.77,0,0,0,79.75,55.4304220779221,53.7801605019508,170.5,27.6101783668731,23.2,7.02749890499593
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",251,53.7325694879021,37.61,86.4,NA,66,NA,54.26,60.5,17,59,50.5,61.7,1.2,2.3,74.1,NA,34.38,0,0,0,2.00002484137528,47.8887097902098,53.7325694879021,NA,26.6073588240123,NA,6.99678138023702
"STEPHENHILL","Stephen Hill","WR","NYJ",252,53.4499633451574,18,58.9,45.6,NA,NA,41.91,61.7,52.8,48.8,69.4,64.1,38.5,66.3,65.1,NA,21.9,0,0,0,0,47.4494805194805,53.4499633451574,178,16.6438706666818,4,3.87602822265204
"JASONAVANT","Jason Avant","WR","CAR",253,53.3332045043744,38.11,82.6,42.6,55.1,NA,56.36,31.6,41.9,47.3,45,29.1,66,63.2,64.7,NA,47.3,0,0,0,0,53.7256547619048,53.3332045043744,NA,14.7903344774905,NA,4.80556531041823
"BRYCEBROWN","Bryce Brown","RB","BUF",254,52.610293615466,55.01,73.8,34.9,66.5,NA,51.33,49.8,44.8,58.9,74,52.8,54.4,27.9,45,NA,31.88,0,0,0,62.7,53.3366396103896,52.610293615466,177.3,14.1781070978858,22.4,5.69320545668715
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",255,52.5492425462885,NA,85.1,75.2,43.7,NA,61.77,3.9,27.7,50,34.3,43.2,44,67.9,NA,NA,38.9,0,0,0,41.85,49.6058181818182,52.5492425462885,213.8,22.1375736228949,42.8,8.69931975603477
