"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"RANDYBULLOCK","K","HOU","yahoo","Randy Bullock",810,2015,45,722,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,29,7.1,9.5,9.2,3.7,28.95,0
"BRONSONHILL","RB","BUF","average","Bronson Hill",141,2015,204,723,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRONSONHILL","RB","BUF","averageRobust","Bronson Hill",141,2015,204,723,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRONSONHILL","RB","BUF","averageWeighted","Bronson Hill",141,2015,204,723,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROBBIEGOULD","K","CHI","yahoo","Robbie Gould",839,2015,46,723,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,21.6,10,6.8,7.6,1.9,35.2,0
"CAMERONSTINGILY","RB","PIT","average","Cameron Stingily",159,2015,205,724,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMERONSTINGILY","RB","PIT","averageRobust","Cameron Stingily",159,2015,205,724,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMERONSTINGILY","RB","PIT","averageWeighted","Cameron Stingily",159,2015,205,724,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RYANSUCCOP","K","TEN","yahoo","Ryan Succop",871,2015,47,724,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,24.1,7.5,9.6,7.3,1.7,28.3,0
"CONNORNEIGHBORS","RB","TEN","average","Connor Neighbors",232,2015,206,725,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONNORNEIGHBORS","RB","TEN","averageRobust","Connor Neighbors",232,2015,206,725,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONNORNEIGHBORS","RB","TEN","averageWeighted","Connor Neighbors",232,2015,206,725,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANDIEGOCHARGERS","DST","SD","yahoo","San Diego Chargers",881,2015,26,725,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5955,33,0.1,9.7,9,17,0.1,1.9,NA,NA,NA,NA,NA,NA,NA,0
"COREYKNOX","RB","BUF","average","Corey Knox",240,2015,207,726,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
