"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"TONYROMO","Tony Romo","QB","DAL",11,279.235669052119,291.2,295.94,291.08,271.06,NA,281.15,260.54,264.16,267.4,264,266.28,295.9,275.3,287.68,NA,281.23,596.249976515185,380.625,216.75,4422.25,30.9624714481201,14.2999974581879,22.9999628159218,41.9637839399306,0.999903565386506,0,0,0,0,0.7,2.25001080514888,277.157428571429,279.235669052119
"TOMBRADY","Tom Brady","QB","NE",12,277.963120898385,216.04,295.42,309.76,265.58,NA,285.838,287.3,267.84,274.22,290.2,277.84,294.1,264.42,292.68,NA,291.72,629.349996428457,389.75,235.700011916037,4461.5,29.9999495685954,11.4728018786432,29.000041356315,31.4882275925291,1.05000515912622,0,0,0,0,0,3.49996366636031,278.558557142857,277.963120898385
"RUSSELLWILSON","Russell Wilson","QB","SEA",13,277.032643585092,338.58,281.74,281,278.26,NA,278.302,286.88,278.14,283.64,289.6,263.46,297,271.56,290.58,NA,261.44,435.499932861293,277.325,157.000064118155,3507.25,25.7235831037918,10.44996728386,87.0000027770554,477.479681702308,2.50004379651964,0,0,0,0,0,3.99999260585223,280.913776190476,277.032643585092
"PHILIPRIVERS","Philip Rivers","QB","SD",14,267.585591536689,275.58,265.18,277.44,268.18,NA,266.274,246.6,263.26,261,258,265.92,274.9,276.92,272.02,NA,259.23,556,365,187.099976878817,4336.5,29.4499621482087,13.4546090971935,27.4999788588307,48.8499893713545,0.67,0,0,0,0,0.7,3.53501889944684,265.377766666667,267.585591536689
"JAYCUTLER","Jay Cutler","QB","CHI",15,265.646387720789,269.56,292.98,274.68,251.72,NA,272.374,280.14,270.66,260.88,264,257.98,265.5,276.74,275.54,NA,257.42,553.949925958657,342.899957255752,209.5,4100.25,28.821591711912,15.4999311507519,32.000015293274,164.00007919557,1.00000515542613,0,0,0,0,1.175,3.70007783873458,264.960314285714,265.646387720789
"JAMAALCHARLES","Jamaal Charles","RB","KC",16,262.69214647048,296.54,293.2,242.9,250.7,261.4,259.83,270.6,252.3,259.3,260,266.7,301,237.9,243.8,NA,245.7,0,0,0,0,0,0,255.625,1257.55,9.99999567292704,64.9999315806637,579.375097628058,3.99992509712023,0,0,2.49994395630473,260.951402777778,262.69214647048
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,257.157903217489,220,280.84,277.54,243.76,NA,265.162,262.84,259.68,251.12,259.2,248.7,263,280.56,267.96,NA,237.58,565.75,356.25,207.75,4135.2,27.0000554885771,13.0000574780055,28.0000076763538,97.5000064946807,0.999974713692504,0,0,0,0,1,4.00002635621569,257.200276190476,257.157903217489
"LESEANMCCOY","LeSean McCoy","RB","PHI",18,252.627178070712,301.86,280.2,238.8,246.4,257.4,254.38,244,255,241.9,242,245,244.5,288.7,251.6,NA,232,0,0,0,0,0,0,291.999982938983,1420.65679940223,9.62756848817464,44.1499973349143,400.725,2.43728138211957,0,1.05,2.00005054563808,254.6675,252.627178070712
"ANDYDALTON","Andy Dalton","QB","CIN",19,249.439198168769,261.06,263.26,255.22,246.18,NA,251.3,251.16,244.6,252.56,259.8,254.44,251,260.86,268.2,NA,246.2,537,331.606859565879,206.05,3848.25,27.6272027035279,16.499947676065,51.0000358376668,150.000004702605,1.50005353075144,0,0,0,0,0,3.00001947399099,251.973976190476,249.439198168769
"ALEXSMITH","Alex Smith","QB","KC",20,246.33635341478,269.4,256.96,237.66,219.58,NA,241.414,130.32,258.06,244.98,251.8,248.96,256.6,257.24,271.74,NA,270.18,534.29997961158,321.5,209,3541.82752116579,22.5000261043512,9.99493233496017,60.9999895888041,318,1.40502250480955,0.25,0,0,0,0.6,3.38856110409647,241.041338095238,246.33635341478
"ADRIANPETERSON","Adrian Peterson","RB","MIN",21,241.110002960426,223.72,246.6,218.6,255.4,239.7,237.08,269,242.2,236,245,230.2,241,244.1,252,NA,231,0,0,0,0,0,0,299.999983685518,1402.675,11.4999995334031,39.5000000481523,268.425061841909,1.49999992930277,0,1,3,240.661833333333,241.110002960426
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",22,240.341835723405,219.16,253.98,256.4,231.78,NA,244.718,224.64,234.9,236.6,256.4,241,245,255.08,265.82,NA,252.96,560.850054610326,339.924338406401,221.500063036242,3884.5,23.5000388336092,15.7999922210695,42.2500314377695,211.874104128708,1.49999912807792,0,0,0,0,0,3.81287017511555,241.906866666667,240.341835723405
"MATTFORTE","Matt Forte","RB","CHI",23,238.206268829143,253.02,258.8,238.4,240.3,243.4,241.72,239.5,230.5,223.3,237,228.2,237.5,272.3,238.7,NA,226.1,0,0,0,0,0,0,275.260080645161,1248.2,8.00004530866152,65.4999582195163,524.858178271941,2.50000086406113,0,1.05,2.09991301719371,239.967888888889,238.206268829143
"CARSONPALMER","Carson Palmer","QB","ARI",24,231.22827322902,205.94,256.84,263.68,227.94,NA,244.084,224.62,225.7,219.44,225.4,230.54,224.5,245.54,261.3,NA,216.27,566.500026497965,353.5,214.25,4194.5,25.5000311536569,18.9999841332383,20.0000094168979,15.4185712205512,0.86769706305254,0,0,0,0,0,3.64996130975085,230.73240952381,231.22827322902
"CALVINJOHNSON","Calvin Johnson","WR","DET",25,227.021826017186,181.98,231.8,231,238.4,227.4,229.66,230.5,219.7,220.3,218,239.2,227,203,238.7,NA,205.7,0,0,0,0,0,0,0,0,0,94.0499886301739,1564.21854260596,11.9999955731195,0,0.3,1.00000084106367,223.324972222222,227.021826017186
