"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"MARCELREECE","RB","cbs","Marcel Reece","OAK",77,329,NA,NA,NA,NA,NA,27.4,123,0.7,36.2,289,1.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"COREYFULLER","WR","cbs","Corey Fuller","DET",107,330,NA,NA,NA,NA,NA,NA,NA,NA,25.5,369,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"JOHNCARLSON","TE","cbs","John Carlson","ARZ",47,331,NA,NA,NA,NA,NA,NA,NA,NA,30,335,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"JOHNNYMANZIEL","QB","cbs","Johnny Manziel","CLE",37,332,102,56,762,3.3,3.4,9.8,39.5,0.4,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4
"JASONAVANT","WR","cbs","Jason Avant","KC",108,333,NA,NA,NA,NA,NA,NA,NA,NA,37.7,339,1.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"ANTHONYFASANO","TE","cbs","Anthony Fasano","TEN",48,334,NA,NA,NA,NA,NA,NA,NA,NA,18.8,204,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"DANIELFELLS","TE","cbs","Daniel Fells","NYG",49,335,NA,NA,NA,NA,NA,NA,NA,NA,25.3,276,3.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"ROBHOUSLER","TE","cbs","Rob Housler","CLE",50,336,NA,NA,NA,NA,NA,NA,NA,NA,27.6,333,1.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4
"LOGANPAULSEN","TE","cbs","Logan Paulsen","WAS",51,337,NA,NA,NA,NA,NA,NA,NA,NA,31,348,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"MARCEDESLEWIS","TE","cbs","Marcedes Lewis","JAC",52,338,NA,NA,NA,NA,NA,NA,NA,NA,19.6,260,2.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8
"CJFIEDOROWICZ","TE","cbs","C.J. Fiedorowicz","HOU",53,339,NA,NA,NA,NA,NA,NA,NA,NA,25.9,256,2.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2
"DANTEROSARIO","TE","cbs","Dante Rosario","CHI",54,340,NA,NA,NA,NA,NA,NA,NA,NA,30.1,300,2.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6
"TEDGINN","WR","cbs","Ted Ginn","CAR",109,341,NA,NA,NA,NA,NA,NA,NA,NA,22.5,334,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2
"DIONSIMS","TE","cbs","Dion Sims","MIA",55,342,NA,NA,NA,NA,NA,NA,NA,NA,29.4,302,1.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2
"BRUCEMILLER","RB","cbs","Bruce Miller","SF",78,343,NA,NA,NA,NA,NA,7.5,14.3,0.1,28.5,285,2.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"JEREMYROSS","WR","cbs","Jeremy Ross","DET",110,344,NA,NA,NA,NA,NA,NA,NA,NA,24.2,329,1.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8
"DUKEJOHNSON","RB","cbs","Duke Johnson","CLE",79,345,NA,NA,NA,NA,NA,56,213,2.3,7.3,69,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"JARONBROWN","WR","cbs","Jaron Brown","ARZ",111,346,NA,NA,NA,NA,NA,NA,NA,NA,19.1,297,1.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6
"JARRETTBOYKIN","WR","cbs","Jarrett Boykin","CAR",112,347,NA,NA,NA,NA,NA,NA,NA,NA,21.3,285,1.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8
"JERMAINEGRESHAM","TE","cbs","Jermaine Gresham","ARZ",56,348,NA,NA,NA,NA,NA,NA,NA,NA,22.6,221,2.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"EDDICKSON","TE","cbs","Ed Dickson","CAR",57,349,NA,NA,NA,NA,NA,NA,NA,NA,24,258,1.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"CHRISPOLK","RB","cbs","Chris Polk","HOU",80,350,NA,NA,NA,NA,NA,52,206,1.6,10.7,82,0.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2
"BRENTONBERSIN","WR","cbs","Brenton Bersin","CAR",113,351,NA,NA,NA,NA,NA,NA,NA,NA,21.3,285,1.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"ACESANDERS","WR","cbs","Ace Sanders","JAC",114,352,NA,NA,NA,NA,NA,NA,NA,NA,31,320,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"MARLONBROWN","WR","cbs","Marlon Brown","BAL",115,353,NA,NA,NA,NA,NA,NA,NA,NA,24.4,270,1.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"MAXXWILLIAMS","TE","cbs","Maxx Williams","BAL",58,354,NA,NA,NA,NA,NA,NA,NA,NA,20,210,2.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8
"JERONHAMM","TE","cbs","Je'Ron Hamm","WAS",59,355,NA,NA,NA,NA,NA,NA,NA,NA,23.6,261,1.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2
"KHIRYROBINSON","RB","cbs","Khiry Robinson","NO",81,356,NA,NA,NA,NA,NA,43,218,2.3,8.4,58,0.3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8
"PAULRICHARDSON","WR","cbs","Paul Richardson","SEA",116,357,NA,NA,NA,NA,NA,NA,NA,NA,27.2,267,1.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8
"RICARDOLOCKETTE","WR","cbs","Ricardo Lockette","SEA",117,358,NA,NA,NA,NA,NA,NA,NA,NA,17,249,1.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4
"LEESMITH","TE","cbs","Lee Smith","OAK",60,359,NA,NA,NA,NA,NA,NA,NA,NA,24.3,209,1.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2
"JONATHANGRIMES","RB","cbs","Jonathan Grimes","HOU",82,360,NA,NA,NA,NA,NA,51,205,1,10.9,86,0.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6
"MARKSANCHEZ","QB","cbs","Mark Sanchez","PHI",38,361,53,32.9,422,2.7,1.7,6,16.7,0.1,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2
"MICHAELCAMPANARO","WR","cbs","Michael Campanaro","BAL",118,362,NA,NA,NA,NA,NA,NA,NA,NA,17.5,227,1.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2
"RYANHEWITT","TE","cbs","Ryan Hewitt","CIN",61,363,NA,NA,NA,NA,NA,NA,NA,NA,27.9,300,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8
"KIRKCOUSINS","QB","cbs","Kirk Cousins","WAS",39,364,73,47,587,2.6,3.2,2.7,9.3,0,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6
"BRANDONTATE","WR","cbs","Brandon Tate","CIN",119,365,NA,NA,NA,NA,NA,NA,NA,NA,20,248,1.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6
"JAMESCASEY","TE","cbs","James Casey","DEN",62,366,NA,NA,NA,NA,NA,NA,NA,NA,6.1,105,3.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6
"TOBYGERHART","RB","cbs","Toby Gerhart","JAC",83,367,NA,NA,NA,NA,NA,37.7,141,1.5,16.4,147,0.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8
"TYLERCLUTTS","RB","cbs","Tyler Clutts","DAL",84,368,NA,NA,NA,NA,NA,8.6,40.4,0.3,10.2,45.8,3.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8
"VANCEMCDONALD","TE","cbs","Vance McDonald","SF",63,369,NA,NA,NA,NA,NA,NA,NA,NA,23,257,1.4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6
"BRANDONPETTIGREW","TE","cbs","Brandon Pettigrew","DET",64,370,NA,NA,NA,NA,NA,NA,NA,NA,22.1,219,1.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2
"JAMESDEVELIN","RB","cbs","James Develin","NE",85,371,NA,NA,NA,NA,NA,7.4,15.3,0.7,16.8,130,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2
"DEANGELOWILLIAMS","RB","cbs","DeAngelo Williams","PIT",86,372,NA,NA,NA,NA,NA,41,181,1.1,2.5,23.8,0.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2
