"name","pos","sourceName","name_nfl","team_nfl","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"AARONRODGERS","QB","nfl","Aaron Rodgers","GB",1,1,NA,NA,4591,35,8,NA,238,3,NA,NA,NA,NA,1,NA,351.44
"ANDREWLUCK","QB","nfl","Andrew Luck","IND",2,2,NA,NA,4796,36,14,NA,252,3,NA,NA,NA,NA,NA,NA,351.04
"RUSSELLWILSON","QB","nfl","Russell Wilson","SEA",3,3,NA,NA,3787,25,9,NA,697,5,NA,NA,NA,NA,1,NA,335.18
"DREWBREES","QB","nfl","Drew Brees","NO",4,4,NA,NA,4680,34,15,NA,40,1,NA,NA,NA,NA,NA,NA,303.2
"PEYTONMANNING","QB","nfl","Peyton Manning","DEN",5,5,NA,NA,4783,35,18,NA,12,NA,NA,NA,NA,NA,1,NA,296.12
"CAMNEWTON","QB","nfl","Cam Newton","CAR",6,6,NA,NA,3510,22,12,NA,544,5,NA,NA,NA,NA,2,NA,292.8
"BENROETHLISBERGER","QB","nfl","Ben Roethlisberger","PIT",7,7,NA,NA,4582,31,13,NA,33,1,NA,NA,NA,NA,NA,NA,290.58
"TONYROMO","QB","nfl","Tony Romo","DAL",8,8,NA,NA,4275,32,11,NA,54,1,NA,NA,NA,NA,1,NA,290.4
"MATTRYAN","QB","nfl","Matt Ryan","ATL",9,9,NA,NA,4573,29,14,NA,103,NA,NA,NA,NA,NA,2,NA,285.22
"RYANTANNEHILL","QB","nfl","Ryan Tannehill","MIA",10,10,NA,NA,3895,28,13,NA,279,2,NA,NA,NA,NA,1,NA,283.7
"TOMBRADY","QB","nfl","Tom Brady","NE",11,11,NA,NA,4153,29,9,NA,35,2,NA,NA,NA,NA,1,NA,281.62
"PHILIPRIVERS","QB","nfl","Philip Rivers","SD",12,12,NA,NA,4366,31,13,NA,23,NA,NA,NA,NA,NA,1,NA,276.94
"COLINKAEPERNICK","QB","nfl","Colin Kaepernick","SF",13,13,NA,NA,3293,22,15,NA,571,4,NA,NA,NA,NA,1,NA,272.82
"TEDDYBRIDGEWATER","QB","nfl","Teddy Bridgewater","MIN",14,14,NA,NA,3781,26,13,NA,291,2,NA,NA,NA,NA,1,NA,272.34
"ELIMANNING","QB","nfl","Eli Manning","NYG",15,15,NA,NA,4327,30,13,NA,22,NA,NA,NA,NA,NA,1,NA,271.28
"MATTHEWSTAFFORD","QB","nfl","Matthew Stafford","DET",16,16,NA,NA,4258,26,14,NA,84,1,NA,NA,NA,NA,NA,NA,260.72
"SAMBRADFORD","QB","nfl","Sam Bradford","PHI",17,17,NA,NA,3725,28,14,NA,49,3,NA,NA,NA,NA,NA,NA,255.9
"MARCUSMARIOTA","QB","nfl","Marcus Mariota","TEN",18,18,NA,NA,3275,25,18,NA,390,3,NA,NA,NA,NA,1,NA,254
"CARSONPALMER","QB","nfl","Carson Palmer","ARI",19,19,NA,NA,4183,27,16,NA,45,1,NA,NA,NA,NA,NA,NA,253.82
"LEVEONBELL","RB","nfl","Le'Veon Bell","PIT",1,20,NA,NA,NA,NA,NA,NA,1165,10,NA,600,3,NA,NA,1,252.5
"JOEFLACCO","QB","nfl","Joe Flacco","BAL",20,21,NA,NA,4050,24,14,NA,70,1,NA,NA,NA,NA,2,NA,247
"ADRIANPETERSON","RB","nfl","Adrian Peterson","MIN",2,22,NA,NA,NA,NA,NA,NA,1370,13,NA,216,2,NA,1,2,246.6
"JAMAALCHARLES","RB","nfl","Jamaal Charles","KC",3,23,NA,NA,NA,NA,NA,NA,1230,10,NA,405,4,NA,1,2,245.5
"EDDIELACY","RB","nfl","Eddie Lacy","GB",4,24,NA,NA,NA,NA,NA,NA,1342,10,NA,400,2,NA,NA,1,244.2
"JAYCUTLER","QB","nfl","Jay Cutler","CHI",21,25,NA,NA,3668,25,15,NA,131,1,NA,NA,NA,NA,1,NA,237.82
"JAMEISWINSTON","QB","nfl","Jameis Winston","TB",22,26,NA,NA,3250,23,10,NA,101,3,NA,NA,NA,NA,NA,NA,230.1
"ALEXSMITH","QB","nfl","Alex Smith","KC",23,27,NA,NA,3228,21,6,NA,201,1,NA,NA,NA,NA,NA,NA,227.22
"ANTONIOBROWN","WR","nfl","Antonio Brown","PIT",1,28,NA,NA,NA,NA,NA,NA,22,1,NA,1580,10,NA,NA,NA,226.2
"DEMARYIUSTHOMAS","WR","nfl","Demaryius Thomas","DEN",2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484,12,NA,1,NA,222.4
"BLAKEBORTLES","QB","nfl","Blake Bortles","JAC",24,30,NA,NA,3149,20,15,NA,339,2,NA,NA,NA,NA,NA,NA,221.86
"JULIOJONES","WR","nfl","Julio Jones","ATL",3,31,NA,NA,NA,NA,NA,NA,12,NA,NA,1545,11,NA,NA,NA,221.7
"DEREKCARR","QB","nfl","Derek Carr","OAK",25,32,NA,NA,3864,22,14,NA,71,NA,NA,NA,NA,NA,NA,NA,221.66
"CALVINJOHNSON","WR","nfl","Calvin Johnson","DET",4,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,12,NA,NA,NA,218
"DEZBRYANT","WR","nfl","Dez Bryant","DAL",5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436,12,NA,NA,NA,215.6
"NICKFOLES","QB","nfl","Nick Foles","STL",26,35,NA,NA,3792,21,12,NA,33,NA,NA,NA,NA,NA,NA,NA,214.98
"MARSHAWNLYNCH","RB","nfl","Marshawn Lynch","SEA",5,36,NA,NA,NA,NA,NA,NA,1204,11,NA,245,1,NA,NA,1,214.9
"ANDYDALTON","QB","nfl","Andy Dalton","CIN",27,37,NA,NA,3567,20,15,NA,143,1,NA,NA,NA,NA,NA,NA,212.98
"ODELLBECKHAM","WR","nfl","Odell Beckham","NYG",6,38,NA,NA,NA,NA,NA,NA,63,NA,NA,1385,11,NA,NA,NA,210.8
"MATTFORTE","RB","nfl","Matt Forte","CHI",6,39,NA,NA,NA,NA,NA,NA,1000,7,NA,522,3,NA,NA,1,210.2
"CJANDERSON","RB","nfl","C.J. Anderson","DEN",7,40,NA,NA,NA,NA,NA,NA,1079,9,NA,316,2,NA,1,NA,207.5
"JEREMYHILL","RB","nfl","Jeremy Hill","CIN",8,41,NA,NA,NA,NA,NA,NA,1255,9,NA,231,1,NA,1,2,206.6
"RANDALLCOBB","WR","nfl","Randall Cobb","GB",7,42,NA,NA,NA,NA,NA,NA,96,1,NA,1297,10,NA,NA,NA,205.3
"AJGREEN","WR","nfl","A.J. Green","CIN",8,43,NA,NA,NA,NA,NA,NA,17,NA,NA,1402,10,NA,1,NA,203.9
"ALSHONJEFFERY","WR","nfl","Alshon Jeffery","CHI",9,44,NA,NA,NA,NA,NA,NA,33,NA,NA,1377,10,NA,NA,NA,201
"LESEANMCCOY","RB","nfl","LeSean McCoy","BUF",9,45,NA,NA,NA,NA,NA,NA,1183,8,NA,231,2,NA,1,2,199.4
"DEMARCOMURRAY","RB","nfl","DeMarco Murray","PHI",10,46,NA,NA,NA,NA,NA,NA,1157,9,NA,257,1,NA,NA,2,197.4
"MARKINGRAM","RB","nfl","Mark Ingram","NO",11,47,NA,NA,NA,NA,NA,NA,1201,9,NA,166,1,NA,NA,1,194.7
"BRANDINCOOKS","WR","nfl","Brandin Cooks","NO",10,48,NA,NA,NA,NA,NA,NA,149,NA,NA,1248,9,NA,NA,NA,193.7
"FRANKGORE","RB","nfl","Frank Gore","IND",12,49,NA,NA,NA,NA,NA,NA,1057,9,NA,219,2,NA,NA,NA,193.6
"MIKEEVANS","WR","nfl","Mike Evans","TB",11,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375,9,NA,1,NA,193.5
"JUSTINFORSETT","RB","nfl","Justin Forsett","BAL",13,51,NA,NA,NA,NA,NA,NA,1098,7,NA,282,2,NA,1,1,192
"RYANFITZPATRICK","QB","nfl","Ryan Fitzpatrick","NYJ",28,52,NA,NA,2854,20,11,NA,102,1,NA,NA,NA,NA,NA,NA,188.36
"TYHILTON","WR","nfl","T.Y. Hilton","IND",12,53,NA,NA,NA,NA,NA,NA,39,NA,NA,1351,8,NA,NA,NA,187
"ALFREDMORRIS","RB","nfl","Alfred Morris","WAS",14,54,NA,NA,NA,NA,NA,NA,1249,8,NA,135,NA,NA,1,1,186.4
"EMMANUELSANDERS","WR","nfl","Emmanuel Sanders","DEN",13,55,NA,NA,NA,NA,NA,NA,37,NA,NA,1398,7,NA,NA,NA,185.5
"LAMARMILLER","RB","nfl","Lamar Miller","MIA",15,56,NA,NA,NA,NA,NA,NA,1157,7,NA,238,1,NA,NA,2,183.5
"JOSHMCCOWN","QB","nfl","Josh McCown","CLE",29,57,NA,NA,3400,15,16,NA,181,NA,NA,NA,NA,NA,NA,NA,182.1
"DEANDREHOPKINS","WR","nfl","DeAndre Hopkins","HOU",14,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329,8,NA,NA,NA,180.9
"CARLOSHYDE","RB","nfl","Carlos Hyde","SF",16,59,NA,NA,NA,NA,NA,NA,1136,7,NA,172,1,NA,1,2,176.8
"MELVINGORDON","RB","nfl","Melvin Gordon","SD",17,60,NA,NA,NA,NA,NA,NA,1147,7,NA,153,1,NA,NA,1,176
"ROBGRONKOWSKI","TE","nfl","Rob Gronkowski","NE",1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133,10,NA,NA,NA,173.3
"LATAVIUSMURRAY","RB","nfl","Latavius Murray","OAK",18,62,NA,NA,NA,NA,NA,NA,1040,8,NA,153,1,NA,NA,1,171.3
"JONATHANSTEWART","RB","nfl","Jonathan Stewart","CAR",19,63,NA,NA,NA,NA,NA,NA,1120,5,NA,241,1,NA,1,2,170.1
"TJYELDON","RB","nfl","T.J. Yeldon","JAC",20,64,NA,NA,NA,NA,NA,NA,965,8,NA,205,1,NA,1,2,169
"ANDREELLINGTON","RB","nfl","Andre Ellington","ARI",21,65,NA,NA,NA,NA,NA,NA,861,6,NA,359,1,NA,NA,1,162
"AMARICOOPER","WR","nfl","Amari Cooper","OAK",15,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,9,NA,NA,NA,161.5
"JORDANMATTHEWS","WR","nfl","Jordan Matthews","PHI",16,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,7,NA,1,NA,156.4
"KEENANALLEN","WR","nfl","Keenan Allen","SD",17,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071,8,NA,NA,NA,155.1
"DAVANTEADAMS","WR","nfl","Davante Adams","GB",18,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,988,9,NA,NA,NA,152.8
"TODDGURLEY","RB","nfl","Todd Gurley","STL",22,70,NA,NA,NA,NA,NA,NA,845,7,NA,182,1,NA,1,1,150.7
"JOSEPHRANDLE","RB","nfl","Joseph Randle","DAL",23,71,NA,NA,NA,NA,NA,NA,852,7,NA,131,1,NA,NA,NA,146.3
"AMEERABDULLAH","RB","nfl","Ameer Abdullah","DET",24,72,NA,NA,NA,NA,NA,NA,737,5,NA,355,1,NA,NA,1,143.2
"JULIANEDELMAN","WR","nfl","Julian Edelman","NE",19,73,NA,NA,NA,NA,NA,NA,23,NA,NA,977,7,NA,NA,NA,142
"JIMMYGRAHAM","TE","nfl","Jimmy Graham","SEA",2,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,993,7,NA,NA,NA,141.3
"JEREMYMACLIN","WR","nfl","Jeremy Maclin","KC",20,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,6,NA,NA,NA,140.6
"ANDREJOHNSON","WR","nfl","Andre Johnson","IND",21,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,8,NA,1,NA,140.3
"LEGARRETTEBLOUNT","RB","nfl","LeGarrette Blount","NE",25,77,NA,NA,NA,NA,NA,NA,815,8,NA,41,1,NA,NA,1,137.6
"GREGOLSEN","TE","nfl","Greg Olsen","CAR",3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,7,NA,NA,NA,137
"TRAVISKELCE","TE","nfl","Travis Kelce","KC",4,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,916,7,NA,1,NA,135.6
"SAMMYWATKINS","WR","nfl","Sammy Watkins","BUF",22,80,NA,NA,NA,NA,NA,NA,32,NA,NA,951,6,NA,NA,NA,134.3
"CHRISIVORY","RB","nfl","Chris Ivory","NYJ",26,81,NA,NA,NA,NA,NA,NA,918,5,NA,115,NA,NA,1,1,133.3
"TEVINCOLEMAN","RB","nfl","Tevin Coleman","ATL",27,82,NA,NA,NA,NA,NA,NA,793,7,NA,100,NA,NA,NA,1,129.3
"BRANDONMARSHALL","WR","nfl","Brandon Marshall","NYJ",23,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,7,NA,1,NA,129
"DEVONTAFREEMAN","RB","nfl","Devonta Freeman","ATL",28,84,NA,NA,NA,NA,NA,NA,655,5,NA,233,2,NA,NA,1,128.8
"ALLENROBINSON","WR","nfl","Allen Robinson","JAC",24,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,7,NA,NA,NA,128.7
"DESEANJACKSON","WR","nfl","DeSean Jackson","WAS",25,86,NA,NA,NA,NA,NA,NA,27,NA,NA,885,6,NA,NA,NA,127.2
"CJSPILLER","RB","nfl","C.J. Spiller","NO",29,87,NA,NA,NA,NA,NA,NA,561,5,NA,301,2,NA,NA,1,126.2
"GOLDENTATE","WR","nfl","Golden Tate","DET",26,88,NA,NA,NA,NA,NA,NA,36,NA,NA,912,5,NA,NA,NA,124.8
"ARIANFOSTER","RB","nfl","Arian Foster","HOU",30,89,NA,NA,NA,NA,NA,NA,590,6,NA,210,1,NA,1,NA,124
"VINCENTJACKSON","WR","nfl","Vincent Jackson","TB",27,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,7,NA,NA,NA,123.8
"GIOVANIBERNARD","RB","nfl","Giovani Bernard","CIN",31,91,NA,NA,NA,NA,NA,NA,642,2,NA,361,2,NA,NA,1,122.3
"MARTAVISBRYANT","WR","nfl","Martavis Bryant","PIT",28,92,NA,NA,NA,NA,NA,NA,31,NA,NA,772,7,NA,NA,NA,122.3
"JOHNBROWN","WR","nfl","John Brown","ARI",29,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,7,NA,NA,NA,121.6
"BRANDONLAFELL","WR","nfl","Brandon LaFell","NE",30,94,NA,NA,NA,NA,NA,NA,14,NA,NA,809,6,NA,1,NA,120.3
"RODDYWHITE","WR","nfl","Roddy White","ATL",31,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,7,NA,NA,NA,120
"JARVISLANDRY","WR","nfl","Jarvis Landry","MIA",32,96,NA,NA,NA,NA,NA,NA,24,NA,NA,809,6,NA,NA,NA,119.3
"MARQUESCOLSTON","WR","nfl","Marques Colston","NO",33,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,827,6,NA,NA,NA,118.7
"DOUGMARTIN","RB","nfl","Doug Martin","TB",32,98,NA,NA,NA,NA,NA,NA,679,5,NA,126,1,NA,1,NA,118.5
"JOIQUEBELL","RB","nfl","Joique Bell","DET",33,99,NA,NA,NA,NA,NA,NA,707,4,NA,208,1,NA,NA,2,117.5
"STEVESMITH","WR","nfl","Steve Smith","BAL",34,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,6,NA,NA,NA,117
"MARTELLUSBENNETT","TE","nfl","Martellus Bennett","CHI",5,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,6,NA,1,NA,117
"KIRKCOUSINS","QB","nfl","Kirk Cousins","WAS",30,102,NA,NA,1855,14,12,NA,44,NA,NA,NA,NA,NA,3,NA,116.6
"ERICDECKER","WR","nfl","Eric Decker","NYJ",35,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,5,NA,NA,NA,116.6
"TORREYSMITH","WR","nfl","Torrey Smith","SF",36,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,852,5,NA,NA,NA,115.2
"MIKEWALLACE","WR","nfl","Mike Wallace","MIN",37,105,NA,NA,NA,NA,NA,NA,18,NA,NA,713,7,NA,NA,NA,115.1
"JULIUSTHOMAS","TE","nfl","Julius Thomas","JAC",6,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,7,NA,NA,NA,114
"LARRYFITZGERALD","WR","nfl","Larry Fitzgerald","ARI",38,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,837,5,NA,NA,NA,113.7
"VICTORCRUZ","WR","nfl","Victor Cruz","NYG",39,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,825,5,NA,NA,NA,112.5
"SHANEVEREEN","RB","nfl","Shane Vereen","NYG",34,109,NA,NA,NA,NA,NA,NA,329,4,NA,374,3,NA,NA,NA,112.3
"ANQUANBOLDIN","WR","nfl","Anquan Boldin","SF",40,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,6,NA,NA,NA,111.5
"NELSONAGHOLOR","WR","nfl","Nelson Agholor","PHI",41,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,794,5,NA,NA,NA,109.4
"MICHAELFLOYD","WR","nfl","Michael Floyd","ARI",42,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,711,6,NA,NA,NA,107.1
"BISHOPSANKEY","RB","nfl","Bishop Sankey","TEN",35,113,NA,NA,NA,NA,NA,NA,654,5,NA,134,NA,NA,NA,1,106.8
"RASHADJENNINGS","RB","nfl","Rashad Jennings","NYG",36,114,NA,NA,NA,NA,NA,NA,589,4,NA,179,1,NA,NA,1,104.8
"MOHAMEDSANU","WR","nfl","Mohamed Sanu","CIN",43,115,NA,NA,NA,NA,NA,NA,26,NA,NA,781,4,NA,NA,NA,104.7
"BRESHADPERRIMAN","WR","nfl","Breshad Perriman","BAL",44,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,745,5,NA,NA,NA,104.5
"ISAIAHCROWELL","RB","nfl","Isaiah Crowell","CLE",37,117,NA,NA,NA,NA,NA,NA,655,5,NA,128,NA,NA,NA,2,104.3
