"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"DANHERRON","Dan Herron","RB",30.4193886267475,6.46535751086858,1,"IND",340,NA,99,-0.03,NA,51,NA,NA,38.43,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7285,30.4193886267475,-179.949702298942,NA,23.7362296921815,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DANIELFELLS","Daniel Fells","TE",10.4049942657666,3.57000815761502,1,"NYG",466,NA,83,6.71,NA,NA,NA,NA,5.65,0.4,NA,11.5,22.6,15.4,20.4,NA,NA,NA,NA,11.78,10.4049942657666,-106.327533815423,NA,8.13777289060389,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DANIELHERRON","Daniel Herron","RB",25.22500522752,2.92279928346722,1,"IND",371,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,18,26.1,NA,NA,NA,26.39,25.5975,25.22500522752,-185.14408569817,NA,4.65098824624043,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DANIELTHOMAS","Daniel Thomas","RB",48.1098676855246,5.67749849964944,1,"MIA",271,NA,87,10.67,60,61,43.1,NA,56.07,77.5,NA,47.9,35,27.2,33,14.1,55.9,NA,32.89,44.9346730769231,48.1098676855246,-162.259223240165,NA,19.491703988081,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DANNYAMENDOLA","Danny Amendola","WR",110.565315220867,6.19373991630497,1,"NE",143,139.4,52,114.61,105.3,99,113.7,NA,110.25,124.5,132.6,104.7,75.3,104.3,113.2,110,122.9,NA,47.97,108.129676406926,110.565315220867,-50.9101159779745,24,21.3334139321394,1,1,1,1,NA,2.2,114.3,4,143,116.8,12.8,1,1,6.67834211465433
"DANNYNOBLE","Danny Noble","TE",0,NA,1,"JAX",648,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-116.73252808119,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DANNYWOODHEAD","Danny Woodhead","RB",142.099781054088,5.01069071195245,3,"SD",102,107.3,37,117.13,165.9,133.3,161.7,NA,149.55,158.6,145.5,131.1,137.8,128,127,95.7,137,NA,119.5,141.808604978355,142.099781054088,-68.2693098716013,15.2,19.1573420350046,2.3,3,2.65,3,121.8,2.9,107.6,9,108,96.9,14.5,2.65,1,2.89037175789616
"DANORLOVSKY","Dan Orlovsky","QB",3.39999990621582,2.26817117230575,1,"DET",568,NA,65,2.35,NA,NA,NA,NA,NA,0.64,NA,3.24,2.4,3.52,NA,NA,NA,NA,NA,2.14142857142857,3.39999990621582,-365.086642917879,NA,1.12423307192059,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DANTEROSARIO","Dante Rosario","TE",5.24929645959186,3.31935685037838,1,"CHI",547,NA,102,0.7,NA,NA,NA,NA,19.45,1.5,NA,4.8,6,13.5,10.3,NA,NA,NA,NA,8.02428571428572,5.24929645959186,-111.483231621598,NA,6.78740956267032,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DARELSCOTT","DaRel Scott","RB",0,NA,1,NA,648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DARICKROGERS","Da'Rick Rogers","WR",32.7982023603173,4.98541241060647,1,"IND",329,NA,134,NA,36.8,NA,NA,NA,28.34,51.2,30.4,28.3,27.3,58.5,16.2,3.5,37.4,NA,NA,32.5134523809524,32.7982023603173,-128.677228838524,NA,15.763147034918,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DARIUSJOHNSON","Darius Johnson","WR",16.235,3.66025538273362,1,"ATL",417,NA,171,NA,NA,NA,NA,NA,23.94,NA,NA,24,10.1,8.1,NA,NA,NA,NA,NA,16.535,16.235,-145.240431198842,NA,8.62397240255325,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DARIUSREYNAUD","Darius Reynaud","RB",0,NA,1,"CHI",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DARRELYOUNG","Darrel Young","RB",17.1831280078579,4.48361464388426,1,"WAS",409,NA,119,16.4,38.2,29.6,NA,NA,33.9,NA,NA,5.9,8.2,9.4,8.8,NA,NA,NA,NA,18.7625,17.1831280078579,-193.185962917832,NA,13.0597527869843,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DARRENFELLS","Darren Fells","TE",2.755,2.59893738476339,1,"ARI",583,NA,116,NA,NA,NA,NA,NA,4.81,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,2.755,2.755,-113.97752808119,NA,2.90620887067671,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DARRENMCFADDEN","Darren McFadden","RB",136.262210065533,5.77487144218424,5,"OAK",111,118.9,39,170.21,139.9,102.8,105.6,NA,121.61,162.8,150.4,132.6,121.2,123.6,129,124.1,125.7,NA,112.2,137.707516233766,136.262210065533,-74.1068808601568,21.5,19.8233251998251,2.8,6,4.4,6,122.8,1.7,122,6,125,114.2,13.9,4.4,1,1.94591014905531
"DARRENSPROLES","Darren Sproles","RB",123.864010015655,4.80146271950384,4,"PHI",123,115.4,43,93.86,145,120.5,124,NA,125.75,127.5,118.8,129.8,135.2,123.6,97,149.3,132,NA,90.3,126.951651515152,123.864010015655,-86.5050809100347,14.5,17.7438268633979,2.4,4,3.2,4,117.9,3.6,94.3,9,100,81.9,13,3.2,1,0
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR",28.1246696568577,5.12034770399465,1,"PIT",351,NA,145,54.35,NA,NA,NA,NA,40.05,21.9,NA,26.3,NA,18.2,8.4,15.9,48.2,NA,NA,26.0578650793651,28.1246696568577,-133.350761541984,NA,16.4900998437591,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DARYLRICHARDSON","Daryl Richardson","RB",16.5652103622258,4.32529044042658,1,"NYJ",415,NA,124,NA,30.1,19.2,NA,NA,16.17,17.7,9.9,21.7,3.7,15.4,1.9,NA,43.3,NA,NA,14.5858333333333,16.5652103622258,-193.803880563464,NA,12.2067941464306,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DAVANTEADAMS","Davante Adams","WR",51.235273129961,5.29164568747917,1,"GB",261,176.3,103,NA,93.2,70.3,50.6,NA,62.29,50,21.6,45.6,49,60.5,32.9,63.5,77.9,NA,26.9,54.4627342657343,51.235273129961,-110.240158068881,16.8,20.2625695715283,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DAVIDAUSBERRY","David Ausberry","TE",37.9373799405948,5.60597278917298,1,"OAK",306,NA,52,39.13,NA,30.7,NA,NA,32.13,65.5,47.2,40.4,24.5,43.2,5,64.2,NA,NA,10.58,37.0761111111111,37.9373799405948,-78.7951481405953,NA,19.1063650983835,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DAVIDFALES","David Fales","QB",0,NA,1,"CHI",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DAVIDFLUELLEN","David Fluellen","RB",0,NA,1,"PHI",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DAVIDJOHNSON","David Johnson","TE",4.3849992337944,2.66637489194973,1,"SD",559,NA,107,9.68,NA,NA,NA,NA,6.09,NA,NA,3,1.4,3.2,NA,NA,NA,NA,NA,3.835,4.3849992337944,-112.347528847396,NA,3.269522900975,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DAVIDNELSON","David Nelson","WR",40.752143471322,5.81244585939082,1,"NYJ",297,NA,121,7.75,60.1,16.4,NA,NA,28.98,47.2,NA,72.4,14,47.6,58,23.5,37.5,NA,38.4,35.6603159340659,40.752143471322,-120.72328772752,NA,20.2187218034088,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DAVIDPAULSON","David Paulson","TE",9.0975,3.67074259768989,1,"PIT",481,NA,86,25.6,NA,NA,NA,NA,13.09,6.3,16.2,17.7,1.9,4.9,1.2,NA,NA,NA,NA,9.72375,9.0975,-107.63502808119,NA,8.68047141165567,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DAVIDREED","David Reed","WR",-0.69,NA,1,"SF",802,NA,281,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,-0.69,-162.165431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DAVIDTHOMAS","David Thomas","TE",0,NA,1,"NO",648,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-116.73252808119,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DAVIDWILSON","David Wilson","RB",-0.72,22.8392342516183,1,"NYG",803,NA,244,-0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.6,NA,NA,NA,16.1044444444444,-0.72,-211.08909092569,NA,111.949145597454,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,7.72753511047545
"DAVONEBESS","Davone Bess","WR",24.275,10.6814059734472,1,NA,379,NA,159,85.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,35.5883333333333,24.275,-137.200431198842,NA,46.4498444561443,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,4.94875989037817
"DCJEFFERSON","D.C. Jefferson","TE",1.2,NA,1,NA,612,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,1.2,1.2,-115.53252808119,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEANDREHOPKINS","DeAndre Hopkins","WR",122.708765350476,4.13898752229277,5,"HOU",124,111.6,42,107.89,111.8,112.2,133.8,NA,116.66,124.4,116.5,127.2,132.4,122.9,127,109.1,129.7,NA,118.2,122.976591991342,122.708765350476,-38.7666658483652,16.1,8.68374928520807,1.1,7,4.05,7,122.7,2.5,112.5,8,126,114,11.5,4.05,1,1.09861228866811
"DEANGELOWILLIAMS","DeAngelo Williams","RB",161.46609891046,5.74502326271551,5,"CAR",88,109,35,130.39,171.8,158.4,172.2,NA,164.04,190.8,165,164.5,138.4,162.4,188,136.2,139.1,NA,89.8,161.536481601732,161.46609891046,-48.9029920152301,15.8,26.3488985632133,2.2,6,4.1,6,123.4,2.9,101.7,9,116,112.3,12.5,4.1,1,6.85118492749374
"DEANTHONYTHOMAS","De'Anthony Thomas","RB",38.9124017500717,3.50657259367398,1,"KC",305,192.5,91,NA,40.4,36.5,43.9,NA,37.35,1,27.5,24.6,81,27.9,22.5,NA,NA,NA,30.5,36.8392727272727,38.9124017500717,-171.456689175618,1.5,19.407979848974,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DEIONBRANCH","Deion Branch","WR",0,NA,1,"IND",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DEJIKARIM","Deji Karim","RB",0,NA,1,NA,648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DELANIEWALKER","Delanie Walker","TE",100.624722999903,4.64073342807828,2,"TEN",160,152,17,63.14,106.1,107.2,100.8,NA,104.71,111.1,105.8,96.6,91.1,96.8,100.6,67.6,102,NA,93.4,98.7744761904762,100.624722999903,-16.1078050812867,16,14.2101049984134,1,1,1,1,134.2,1,143.9,4,189,NA,NA,1,1,5.88887795833288
"DELONECARTER","Delone Carter","RB",0,NA,1,"JAC",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEMARCOMURRAY","DeMarco Murray","RB",262.093833866584,5.5932743654614,55,"DAL",33,12.2,7,360.36,293.6,249.4,247.8,264,263.54,269.8,271.6,245.4,257.2,250.9,260.5,230.9,204.9,NA,193.3,265.705948717949,262.093833866584,51.724742940894,4.7,38.0478162817464,43,45,44,45,16.2,38.8,17,40,12,13.5,3,44,43,9.24483841238375
"DEMARYIUSTHOMAS","Demaryius Thomas","WR",234.225314326325,4.25253821606756,62,"DEN",44,9,2,284.49,231.6,244,236.6,237.5,237.82,251,242.1,225.1,228,229.3,252,165.4,217.3,NA,195.4,235.38033974359,234.225314326325,72.7498831274836,2.2,26.604754802389,56.6,52,54.3,56.6,9.5,41.8,14.2,38,10,8.2,1.7,54.3,54,9.21900274505484
"DEMETRIUSHARRIS","Demetrius Harris","TE",20.8999928990048,3.01038289434213,1,"KC",392,NA,69,NA,NA,NA,NA,NA,14.96,NA,18.6,21.6,27,24.6,14.4,NA,NA,NA,NA,20.1933333333333,20.8999928990048,-95.8325351821853,NA,5.12283775525506,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DENARDROBINSON","Denard Robinson","WR",44.8589216402126,6.62437466794674,1,"JAC",282,NA,112,9.14,74.1,58,31.7,NA,62.57,20.7,92,35.3,31.6,25.5,17.4,34.3,NA,NA,22.11,42.5266305361305,44.8589216402126,-116.616509558629,NA,24.5929215634426,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DENARIUSMOORE","Denarius Moore","WR",72.1496528156126,6.65613753207904,1,"OAK",209,183,82,170.3,90.1,54.7,93.7,NA,68.08,81.8,38.5,37.4,20.6,68.1,83.5,90.5,78.3,NA,31.1,73.2833333333333,72.1496528156126,-89.325778383229,14.9,37.2471392219561,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,6.44413125670044
"DENNISDIXON","Dennis Dixon","QB",0,NA,1,"BUF",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DENNISJOHNSON","Dennis Johnson","RB",19.9524490809099,4.2734076094216,1,"HOU",396,NA,117,NA,31.4,NA,NA,NA,15.7,NA,NA,NA,NA,NA,NA,19.4,41.9,NA,NA,10.885,19.9524490809099,-190.41664184478,NA,11.9272796563173,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DENNISPITTA","Dennis Pitta","TE",122.66304070116,6.26807064663762,5,"BAL",125,95,8,12.17,141.8,134,142.6,142.6,130.88,146.5,117.1,114.1,117,109.2,111.8,90.9,129.2,NA,101.6,119.729423076923,122.66304070116,5.93051261997037,14.8,33.1859082974055,1.5,7,4.25,7,86.9,2.8,89,8,76,98.7,14.9,4.25,1,9.80648093459398
"DEONTETHOMPSON","Deonte Thompson","WR",5.90000921756666,2.80699034507583,1,"BAL",539,NA,213,NA,NA,NA,NA,NA,10.43,10.4,NA,5.3,NA,3.8,2.4,1,NA,NA,NA,4.26267857142857,5.90000921756666,-155.575421981275,NA,4.02707710380618,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DEREKANDERSON","Derek Anderson","QB",9.46464953857681,3.61597502265686,1,"CAR",478,NA,57,2.58,26.46,NA,NA,NA,10.002,2.98,1.24,6.02,1.4,9.3,NA,NA,NA,NA,NA,7.39327777777778,9.46464953857681,-359.021993285518,NA,8.38541560005909,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEREKCARR","Derek Carr","QB",51.6126116369958,7.08130755639291,1,"OAK",258,NA,37,NA,29.34,87.36,NA,NA,44.322,35.9,14.4,48.4,56.3,69.38,49,NA,29.98,NA,106.74,58.5065808080808,51.6126116369958,-316.874031187099,NA,27.054609965099,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEREKHAGAN","Derek Hagan","WR",0,NA,1,"TEN",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEREKMOYE","Derek Moye","WR",6.45,3.80264427720602,1,"PIT",524,NA,207,NA,NA,NA,NA,NA,22.96,NA,NA,7.2,2.4,4.2,NA,NA,NA,NA,NA,9.19,6.45,-155.025431198842,NA,9.3910808749579,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DERRICKCOLEMAN","Derrick Coleman","RB",7.39393534145806,3.80486509579769,1,"SEA",511,NA,156,NA,28,13.3,NA,NA,20.65,3.9,NA,7,3.6,5.9,NA,NA,NA,NA,NA,10.29375,7.39393534145806,-202.975155584232,NA,9.4030453526909,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DESEANJACKSON","DeSean Jackson","WR",155.508681387022,4.05948576082296,16,"WAS",93,57,23,143.91,147.2,152.7,161.5,NA,154.03,166,145,155.3,165.1,151.3,161,115.5,154.9,NA,142.43,155.427390692641,155.508681387022,-5.96674981181962,12,12.7522972935756,9.1,22,15.55,22,47.1,15.5,46.9,18,51,53.2,7.1,15.55,13,6.98193467715639
"DEVIERPOSEY","DeVier Posey","WR",28.2841867026145,4.96388946972287,1,"HOU",350,NA,144,NA,50.3,55.3,NA,NA,33.74,30.5,10.3,14.9,23.4,19.2,2.4,25,34.2,NA,15.2,23.0244480519481,28.2841867026145,-133.191244496227,NA,15.6471939589141,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEVINHESTER","Devin Hester","WR",7.75475796685313,3.63923102741759,1,"ATL",505,NA,200,-7.68,NA,NA,NA,NA,17.35,0.3,NA,NA,NA,1,3.6,NA,NA,NA,8.97,6.22809523809524,7.75475796685313,-153.720673231988,NA,8.51070541533818,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DEVINSTREET","Devin Street","WR",33.0253476042831,5.57478640354932,1,"DAL",327,NA,132,NA,47.3,54.6,NA,NA,50.95,46.3,NA,9.8,5.3,19.8,42,20,NA,NA,13.8,31.6575,33.0253476042831,-128.450083594558,NA,18.9383510076482,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DEVONTAFREEMAN","Devonta Freeman","RB",115.189904120213,7.28314606308727,5,"ATL",137,121.9,46,NA,172.1,145.7,73.4,NA,127.96,116.7,88.2,110.4,128,112.6,159.7,37.9,109.3,NA,79.9,116.345508491508,115.189904120213,-95.1791868054765,21,36.6753664970414,2.1,6,4.05,6,123.7,1.9,138.3,3,142,102.4,11.4,4.05,1,4.90527477843843
"DEVONWYLIE","Devon Wylie","WR",-0.84,NA,1,"SF",804,NA,282,-0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84,-0.84,-162.315431198842,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DEXTERCARTER","Dexter Carter","RB",0,NA,1,NA,648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEXTERMCCLUSTER","Dexter McCluster","RB",89.2249918720038,5.80526847112945,1,"TEN",179,172.9,58,78.35,127.3,100.2,102.5,NA,100.56,47.4,79.8,91.6,72.2,61.5,68.9,57.5,NA,NA,71.7,88.2775268065268,89.2249918720038,-121.144099053686,19.9,22.0728643593359,1,1,1,1,NA,0,146.6,2,212,NA,NA,1,1,0
"DEZBRYANT","Dez Bryant","WR",221.446208904071,4.46613140266018,60,"DAL",49,10.6,3,307.88,217.3,224.3,225.7,216.2,217.4,239.3,212.4,215.5,220.5,219.6,229,166.4,213.1,NA,205.4,224.49511965812,221.446208904071,59.9707777052292,2.5,28.5458082653795,52.9,52,52.45,52.9,10.9,38.4,17.2,37,11,10.8,2.2,52.45,46,8.79633893284573
"DEZMONBRISCOE","Dezmon Briscoe","WR",0,NA,1,NA,648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DIONLEWIS","Dion Lewis","RB",23.0296075614481,4.56488239490437,1,"CLE",383,NA,113,23.33,32.3,NA,NA,NA,18.22,3.7,23.8,29.8,41.6,10.8,4.3,2.4,NA,NA,NA,17.6238181818182,23.0296075614481,-187.339483364242,NA,13.4975761198487,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DIONSIMS","Dion Sims","TE",17.2421108461717,3.21001655555672,1,"MIA",408,NA,72,7.62,NA,NA,NA,NA,19.32,15,NA,23.4,17,17.4,4.3,NA,NA,NA,16,15.2028571428571,17.2421108461717,-99.4904172350184,NA,6.19834770609993,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DJWILLIAMS","D.J. Williams","TE",5.97583412008548,3.36190862645802,1,"NE",534,NA,99,-0.03,NA,NA,NA,NA,9.01,NA,17.1,NA,1.9,2.6,NA,NA,NA,NA,NA,4.36285714285714,5.97583412008548,-110.756693961105,NA,7.01665376087491,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DOMENIKHIXON","Domenik Hixon","WR",9.6872400325274,2.47550229598342,1,NA,476,NA,189,11.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA,NA,13,NA,NA,6.553,9.6872400325274,-151.788191166314,NA,2.24121246947569,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DOMINIQUEDAVIS","Dominique Davis","QB",0,3.15938137426777,1,NA,648,NA,75,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,9.46,NA,NA,NA,NA,NA,2.308,0,-368.486642824095,NA,5.92555482634327,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DONALDBROWN","Donald Brown","RB",86.5802593376873,6.19244929141112,1,"SD",190,158.9,62,106.41,104.7,73.5,93.6,NA,85.66,77.5,67.4,86,77.8,91.4,91.5,28.8,49.9,NA,66.8,85.221053030303,86.5802593376873,-123.788831588002,24.3,20.9591296297142,1,1,1,1,NA,1.1,135.6,2,209,NA,NA,1,1,0
"DONNIEAVERY","Donnie Avery","WR",84.323442268684,3.49625628605879,1,"KC",197,183.8,75,77.28,86.4,82.1,91.6,NA,82.57,84.2,78.1,93.7,74.7,63.6,87,81.7,94.6,NA,81.53,84.3612164502164,84.323442268684,-77.1519889301576,10.8,8.12510436112182,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DONTEMONCRIEF","Donte Moncrief","WR",35.0999248012469,5.09513947302836,1,"IND",318,173,127,NA,59.4,26.8,NA,NA,33.83,20.5,6.6,47.4,38.1,28.6,20,32.3,64.9,NA,26.2,36.1175793650794,35.0999248012469,-126.375506397595,18,16.7037352699837,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DONTRELLEINMAN","Dontrelle Inman","WR",15.1,NA,1,"SD",427,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,15.1,15.1,-146.375431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DORINDICKERSON","Dorin Dickerson","TE",-0.27,NA,1,"DET",800,NA,157,-0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27,-0.27,-117.00252808119,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DOUGBALDWIN","Doug Baldwin","WR",115.667680510223,5.15337259233212,1,"SEA",135,142.6,49,136.64,106.2,125.1,94.8,NA,109.31,130.7,105.1,112.1,119.1,104.2,112,99.5,122.2,NA,100.89,115.935588744589,115.667680510223,-45.8077506886186,22.1,12.4060211365111,1,1,1,1,NA,1.3,144.8,3,179,NA,NA,1,1,4.63472898822964
"DOUGMARTIN","Doug Martin","RB",250.53036036874,5.31459032711002,35,"TB",38,22.8,11,305.11,265.5,240,272.6,NA,257.16,258.4,250.6,227.1,236.5,228.1,258,206.2,194.2,NA,178.3,251.716918831169,250.53036036874,40.1612694430498,6.2,33.2431513974708,25,36,30.5,36,35,40.4,16,42,23,25.3,4.1,30.5,36,10.0100523427642
"DREWBREES","Drew Brees","QB",438.703245322797,3.51395608957576,50,"NO",2,27.1,2,393.98,403.8,410.42,402,404.08,404.51,391.92,408.22,386.32,374.1,374,410.5,384.8,404.22,NA,387.08,439.471291666667,438.703245322797,70.2166024987015,7.4,12.4001011900633,41.6,38,39.8,41.6,17.1,40.2,12.5,39,13,16.6,4.8,39.8,38,7.49108759353488
"DREWDAVIS","Drew Davis","WR",35.0501701668731,4.73085047560229,1,"ATL",319,NA,128,54.24,42.2,36.9,NA,NA,32.19,52.1,8.9,39.7,20,29.3,33.5,47.7,25.3,NA,10.95,34.0255769230769,35.0501701668731,-126.425261031969,NA,14.3917155211262,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DREWSTANTON","Drew Stanton","QB",0.776811171485548,3.27257866525426,1,"ARI",624,NA,74,NA,NA,NA,NA,NA,0.84,-0.540000000000001,1.68,3.92,5.4,3.34,9.6,NA,NA,NA,19.72,5.66648809523809,0.776811171485548,-367.70983165261,NA,6.53539593291791,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"DRIARCHER","Dri Archer","RB",44.7747092898884,5.57542355317922,1,"PIT",283,NA,88,NA,59.8,75.3,NA,NA,46.77,20.4,34.2,34.6,50,37.5,27.9,2.4,49.2,NA,31.4,40.7414315684316,44.7747092898884,-165.594381635801,NA,18.9417835989405,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DUJUANHARRIS","DuJuan Harris","RB",29.4730640687687,5.457144516408,1,"GB",345,NA,103,NA,NA,56.6,NA,NA,37.7,53.3,NA,13,26.9,15.5,18.7,3.3,NA,NA,20.67,23.1707070707071,29.4730640687687,-180.896026856921,NA,18.3045650043917,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DUSTINKELLER","Dustin Keller","TE",0,NA,1,NA,648,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,3.85,0,-116.73252808119,NA,NA,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,NA
