"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"MYCHALRIVERA","Mychal Rivera","TE",66.8369606363666,4.59921377264943,1,"OAK",219,NA,29,NA,80.5,83.8,66.8,NA,62.71,43.8,67.1,45.8,63.2,57.3,72.2,37.9,70.9,NA,60.7,65.8998151848152,66.8369606363666,-49.8955674448235,NA,13.682533597292,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,0.693147180559945
"MYLESWHITE","Myles White","WR",12.7525,4.84818553990966,1,"GB",449,NA,181,NA,NA,NA,NA,NA,19.51,1.1,32.9,NA,NA,NA,2.9,NA,NA,NA,NA,13.3525,12.7525,-148.722931198842,NA,15.0238485415688,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"NAAMANROOSEVELT","Naaman Roosevelt","WR",9.53,NA,1,"BUF",477,NA,190,NA,NA,NA,NA,NA,9.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53,9.53,-151.945431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"NATEBURLESON","Nate Burleson","WR",71.1769517781483,4.86508208091772,1,"CLE",211,NA,83,80.45,71.8,66.4,71.4,NA,73.02,88.7,84.3,62.4,34.1,88.2,65,62.2,78,NA,48.7,70.84875,71.1769517781483,-90.2984794206934,NA,15.1148772682799,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"NATEBYHAM","Nate Byham","TE",0,NA,1,NA,648,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-116.73252808119,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"NATEWASHINGTON","Nate Washington","WR",89.0471389196429,5.51208349918787,1,"TEN",182,196.1,71,92.67,92.7,84.4,79.8,NA,83.63,124.2,75.7,74.2,80,65.4,80,108.3,96.3,NA,94.1,91.21075,89.0471389196429,-72.4282922791987,23.1,15.0698121210132,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"NATHANOVERBAY","Nathan Overbay","TE",0.35,NA,1,"DET",636,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,0.35,0.35,-116.38252808119,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"NATHANPALMER","Nathan Palmer","WR",0,NA,1,"DEN",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"NICKFOLES","Nick Foles","QB",380.26461361782,4.63619169352634,11,"PHI",5,69.9,5,312.94,338.7,370.3,341.06,354.64,355.484,366.1,373.7,354.74,349.4,348.26,351,324.02,346.94,NA,341.34,380.465875,380.26461361782,11.7779707937246,14.4,16.0831847213465,3.6,14,8.8,14,64.9,9.8,57.9,14,57,70.1,12.1,8.8,2,8.60977237270933
"NICKKASA","Nick Kasa","TE",3.28444220435806,3.16367183275225,1,"OAK",570,NA,111,NA,NA,NA,NA,NA,14,NA,NA,NA,2.4,3.4,1,NA,NA,NA,NA,3.46666666666667,3.28444220435806,-113.448085876832,NA,5.94866931898779,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"NICKSTEPHENS","Nick Stephens","QB",0,NA,1,NA,648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"NICKTOON","Nick Toon","WR",26.9347666066938,5.94156395320094,1,"NO",361,NA,149,60.03,NA,NA,NA,NA,19.94,67.6,10.2,40.5,23.4,34.2,7,4.7,22.5,NA,15,28.5975974025974,26.9347666066938,-134.540664592148,NA,20.9143349273781,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"NICKWILLIAMS","Nick Williams","WR",8.48,NA,1,"PIT",492,NA,196,NA,NA,NA,NA,NA,8.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,8.48,-152.995431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"NILESPAUL","Niles Paul","TE",3.6999909762205,2.52431289470991,1,"WAS",566,NA,110,-0.24,NA,NA,NA,NA,6.9,5.5,NA,3.7,1.9,3.4,1,NA,NA,NA,NA,3.12,3.6999909762205,-113.03253710497,NA,2.50417556055785,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ODELLBECKHAM","Odell Beckham","WR",96.6500470328996,5.15686473767586,1,"NYG",166,165.3,63,NA,85,95.8,92.1,NA,97.85,98.5,94.6,88.3,98.6,98.7,92.7,99.3,89.9,NA,88.9,96.8965068265068,96.6500470328996,-64.825384165942,28.5,4.75558376259707,1,1,1,1,NA,0,170,0,235,NA,NA,1,1,0
"ORSONCHARLES","Orson Charles","RB",10.1799920004424,3.09224578611357,1,"CIN",469,NA,144,4.95,14.2,NA,NA,NA,10.96,NA,NA,2.3,NA,1.5,NA,NA,NA,NA,NA,8.02166666666667,10.1799920004424,-200.189098925247,NA,5.56386736002935,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"OWENDANIELS","Owen Daniels","TE",58.3995616360212,7.46322798160715,1,"BAL",237,205,36,71.06,65.4,56.3,58.7,NA,56.05,58.5,39,61.5,66.5,64.4,12.5,50.9,65.2,NA,30.2,56.4752619047619,58.3995616360212,-58.3329664451689,39.6,16.2722816470217,1,0,0.5,1,122.5,0,170,0,205,NA,NA,0.5,1,1.09861228866811
"OWENMARECIC","Owen Marecic","RB",0,NA,1,"CLE",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"PATDEVLIN","Pat Devlin","QB",0,NA,1,"MIA",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"PATEDWARDS","Pat Edwards","WR",4.58,NA,1,"DET",557,NA,218,NA,NA,NA,NA,NA,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,4.58,-156.895431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"PATRICKDIMARCO","Patrick DiMarco","RB",6.9280998947733,2.81112688700834,1,"ATL",518,NA,159,NA,9.3,7.6,NA,NA,8.45,NA,NA,5.2,1.4,2.7,0.8,NA,NA,NA,11.97,6.01321428571429,6.9280998947733,-203.440991030916,NA,4.04936238367051,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"PATRICKEDWARDS","Patrick Edwards","WR",2.04,2.73675148054316,1,NA,598,NA,227,-0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,2.04,2.04,-159.435431198842,NA,3.64867099092258,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"PATWHITE","Pat White","QB",0,NA,1,NA,648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"PAULRICHARDSON","Paul Richardson","WR",54.3822003123141,7.90613081649225,1,"SEA",248,223,98,NA,71.8,55.7,NA,NA,47.97,37.5,NA,61.3,64.5,41.3,73.5,NA,33.6,NA,30.9,54.3706060606061,54.3822003123141,-107.093230886528,44,15.7589424701589,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"PERCYHARVIN","Percy Harvin","WR",162.605660856971,7.3652501689672,19,"SEA",87,57.7,19,-0.03,146.4,126.2,148.5,NA,162.28,147.3,192.8,161.2,150.5,158.7,185,139,156.2,NA,133.2,154.500193722944,162.605660856971,1.13022965812956,14.8,45.0078373944258,13.3,23,18.15,23,43.9,12.2,52.7,16,52,52.7,7.1,18.15,17,10.0357869365496
"PEYTONHILLIS","Peyton Hillis","RB",50.8545839904896,6.2626011453246,1,"NYG",263,NA,83,91.75,59,54.5,38.9,NA,43.75,81,12.6,NA,34.4,27.6,44.5,NA,NA,NA,48.4,49.0011818181818,50.8545839904896,-159.5145069352,NA,22.6438964282772,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"PEYTONMANNING","Peyton Manning","QB",474.692015772626,5.13707176129755,57,"DEN",1,22.3,1,410.44,439.56,434.28,465.4,437.5,442.708,426.12,455.38,418.9,428.2,418.12,453.2,342.76,423.98,NA,417.82,467.667833333333,474.692015772626,106.20537294853,8.8,28.2071417447696,47.7,44,45.85,47.7,11.1,54.1,5.3,45,7,8.4,3.9,45.85,62,10.4060491228837
"PHILIPRIVERS","Philip Rivers","QB",351.834723068304,4.92413143059291,6,"SD",14,99.5,14,323.43,313.38,320.64,317.38,NA,312.254,296.8,312.66,311,304,310.32,324.9,330.82,322.02,NA,300.25,350.011910606061,351.834723068304,-16.6519197557915,22.3,9.69573326007628,1.6,8,4.8,8,104.3,3,104.8,9,105,102.9,10.1,4.8,1,4.20469261939097
"PHILLIPTANNER","Phillip Tanner","RB",2.2,NA,1,NA,595,NA,181,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,-208.16909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"PIERREGARCON","Pierre Garcon","WR",169.110537418502,3.88682847913766,22,"WAS",81,40.2,15,153.81,184.2,171.3,170.4,NA,172.62,177.6,159,164.6,169.8,173,166.1,122,177.9,NA,146.75,169.623652597403,169.110537418502,7.63510621966043,7.9,15.8171098761804,18.9,23,20.95,23,40.8,16.4,44.8,23,39,38.6,4.7,20.95,18,8.25971696102152
"PIERRETHOMAS","Pierre Thomas","RB",167.282658316499,5.42324469796595,5,"NO",84,83,34,184.26,193.9,172.9,154.3,NA,176.68,192,176.5,141.2,139,145.3,172.6,159,140.3,NA,127.4,167.357428571429,167.282658316499,-43.0864326091912,16.9,21.5604012786567,1.6,7,4.3,7,107.9,5,90.6,10,94,74.5,8.8,4.3,1,6.48157712927643
"PLAXICOBURRESS","Plaxico Burress","WR",14.1,NA,1,"PIT",437,NA,177,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,14.1,-147.375431198842,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"PRESTONPARKER","Preston Parker","WR",0,NA,1,"NYG",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"QUINCYENUNWA","Quincy Enunwa","WR",0,NA,1,"NYJ",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"QUINNJOHNSON","Quinn Johnson","RB",0,NA,1,"TEN",648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"QUINTONPATTON","Quinton Patton","WR",26.7849204868005,5.66507056388294,1,"SF",363,NA,150,1.86,60.4,NA,NA,NA,23.4,38.4,NA,33.2,15.7,17.3,1.7,3.1,39.6,NA,NA,24.0833333333333,26.7849204868005,-134.690510712041,NA,19.4247495050344,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"RAJIONNEAL","Rajion Neal","RB",0.6,NA,1,"GBP",626,NA,187,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,-209.76909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"RAMSESBARDEN","Ramses Barden","WR",0,NA,1,"BUF",648,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-161.475431198842,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"RANDALLCOBB","Randall Cobb","WR",188.298959653577,4.14332402434528,34,"GB",68,28.9,10,248.79,187,172.1,203,194.4,190.16,181.8,181.7,196.1,182.3,188.1,190.5,139.6,177.3,NA,161.86,193.052270299145,188.298959653577,26.8235284547354,4.1,23.1455956316284,33.2,33,33.1,33.2,32.2,22.8,33.7,27,28,27.4,3.4,33.1,30,9.121071904218
"RASHADJENNINGS","Rashad Jennings","RB",210.407573268061,5.31140803679186,24,"NYG",55,42.5,20,210.1,212.9,200.3,209.4,NA,210.66,208.2,240.3,209.9,208,217.6,203.4,155.7,184.5,NA,148.6,210.074642857143,210.407573268061,0.0384823423710259,13.9,23.9591599405101,13.6,29,21.3,29,58,11.3,61.9,16,49,36.8,5.2,21.3,10,8.09376775793108
"RASHARDMENDENHALL","Rashard Mendenhall","RB",-8.04,NA,1,NA,818,NA,249,160.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2266666666667,-8.04,-218.40909092569,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"RAYGRAHAM","Ray Graham","RB",0,NA,1,NA,648,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-210.36909092569,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"RAYRICE","Ray Rice","RB",201.549982336558,6.00462187604784,8,"BAL",63,64,24,197.62,213.7,196.7,219.3,NA,211.09,197.3,239.7,176.7,181.5,185.9,191,161.2,159.5,NA,144.6,200.002266233766,201.549982336558,-8.8191085891319,18.7,25.6623766704027,3.8,10,6.9,10,100,11.7,61,14,66,50.2,7.1,6.9,7,9.43404376654891
"REGGIEBUSH","Reggie Bush","RB",210.449799345058,5.49032692264298,20,"DET",54,42.8,19,188.77,226.8,199.5,233,NA,208.53,214.9,185.2,219.9,239.4,209.2,230,173.2,190.4,NA,135.5,209.989572510823,210.449799345058,0.0807084193684489,12.2,27.9291237178747,11,24,17.5,24,61.6,23.5,29.9,29,33,32.1,4.7,17.5,10,8.94219945473124
"REGGIEWAYNE","Reggie Wayne","WR",138.290264301461,4.54268836023577,6,"IND",106,87.8,33,151.41,131.7,135.4,152.8,NA,135.49,161.6,124,130.6,130,133,151.6,106.9,140.8,NA,113.06,140.607042207792,138.290264301461,-23.1851668973809,14.2,15.315953687663,1.7,9,5.35,9,98.8,6.6,79.3,11,89,81.5,9.9,5.35,3,7.63675211243578
"REXBURKHEAD","Rex Burkhead","RB",0.925604820329839,2.35955960644632,1,"CIN",620,NA,185,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,1.3,3.3,NA,NA,NA,NA,1.175,0.925604820329839,-209.44348610536,NA,1.61658075373095,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"REXGROSSMAN","Rex Grossman","QB",0,NA,1,"CLE",648,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-368.486642824095,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
