"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"JORDANCAMERON","Jordan Cameron","TE","CLE",32,59.3752164284276,4,140.688759163608,138.35,122.8,148.4,144.7,144.7,137.54,138.3,139.2,145.2,152,141.8,153.1,118.6,129,NA,125.4,140.927628205128,140.688759163608,23.9098514344158,9.1913,10.4599425018906,3.7716970258601,133.268946496233,7.41981266737477
"VINCENTJACKSON","Vincent Jackson","WR","TB",33,35.0653110529495,11,182.759378088905,307.22,184.5,176.2,187.5,NA,181.15,193,175.1,179.5,171.7,179.8,183,177.9,183.4,NA,160,192.681311688312,182.759378088905,19.4881943282516,4.07579909767108,35.0124084519245,5.79735766630837,176.298934875014,6.46044321389073
"JASONWITTEN","Jason Witten","TE","DAL",34,73.1408999396014,5,136.169578495246,140.74,144.8,144.9,138.6,138.6,139.43,142.8,124,121.8,141,135.1,130,124.1,136.8,NA,120.3,137.562439102564,136.169578495246,19.390670766054,7.7826,8.56695383991522,3.41203921901351,130.358974791639,5.8106037036072
"ANDREELLINGTON","Andre Ellington","RB","ARI",35,24.3126837125025,15,228.415172196332,169.93,244,220.4,211.2,NA,229.02,264,246.3,213.9,223.1,219.7,235,189,190.6,NA,187.9,225.768176406926,228.415172196332,17.7246970448451,4.9326,26.1725352754993,4.95688320101448,225.248178635709,3.16699356062233
"TOBYGERHART","Toby Gerhart","RB","JAC",36,42.0417052546809,16,226.663270147157,177.76,264.6,222.1,211.6,NA,239.09,259.2,262.8,218.8,229,223.6,249.5,162.9,173.5,NA,170.7,226.485361471861,226.663270147157,15.9727949956704,5.6826,35.5011420107288,6.03049820226581,218.542428354304,8.1208417928525
"ANDREJOHNSON","Andre Johnson","WR","HOU",37,36.7740386551238,12,178.208829406376,169.85,185.2,174.7,198.7,NA,181.07,196,166.8,171,170,167.8,188.3,167.3,181.2,NA,149.1,180.365273809524,178.208829406376,14.9376456457223,5.2913,13.1704971661815,3.61894381974877,173.542838713838,4.66599069253721
"VERNONDAVIS","Vernon Davis","TE","SF",38,67.5777934366821,6,130.36831449722,70.44,137.8,147.6,160.7,160.7,142.34,162.5,125.9,118.5,128.5,133.3,119.5,80.4,132.9,NA,102.1,130.464358974359,130.36831449722,13.589406768028,9.8739,27.363916595191,5.64081291115272,126.401942068124,3.96637242909613
"GREGOLSEN","Greg Olsen","TE","CAR",39,89.1427118985303,7,130.349635086058,158.14,120.9,129.1,128.2,128.2,126.36,128.9,131.6,113.4,141.7,140.9,136.8,100,124.1,NA,121.1,131.408314102564,130.349635086058,13.5707273568655,19.4434,13.261675538756,5.22567183765987,121.499609465968,8.85002562009015
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",40,49.2423293738675,5,380.912672160198,243.16,384.82,383.68,344.04,359.3,361.09,345.36,323.66,343.68,342.8,340.48,340.4,327.34,345.58,NA,330.42,378.245791666667,380.912672160198,13.2767267897665,6.8652,32.4173484859133,5.83702422096797,375.479837498475,5.43283466172346
"RYANMATHEWS","Ryan Mathews","RB","SD",41,45.0184316488826,17,223.833087124262,210.54,236.8,224.2,215.9,NA,223.04,214.8,216.8,223.4,230,226.7,242.3,199,181.1,NA,157.7,224.17567965368,223.833087124262,13.1426119727751,7.4152,22.3787092695586,4.83483945797916,212.893307352341,10.9397797719203
"NICKFOLES","Nick Foles","QB","PHI",42,69.3244111133481,6,380.755569757857,312.94,338.7,378.5,341.06,354.64,354.512,366.1,373.7,354.74,349.4,348.26,351,325.32,353.98,NA,343.86,381.641375,380.755569757857,13.1196243874253,9.3239,16.786201421746,4.45734291540902,369.642192839739,11.1133769181181
"KEENANALLEN","Keenan Allen","WR","SD",43,31.8636702234749,13,174.389040343653,206.32,173.3,164.7,169.5,NA,169.52,173.1,177.1,167.6,174.6,179.3,185,143.5,179.6,NA,151.6,175.715090909091,174.389040343653,11.1178565829994,4.5826,14.6859377308011,3.69962747444362,171.248389932142,3.14065041151045
"VICTORCRUZ","Victor Cruz","WR","NYG",44,43.237326353936,14,172.696637084024,186.93,168.9,159.3,162.2,NA,167.02,195.5,183.6,170,159.9,169.6,192.1,171.3,181.1,NA,150.1,175.39442965368,172.696637084024,9.42545332337076,8.6565,13.3532791585331,4.01808371395708,169.447652146491,3.2489849375329
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",45,40.0023052144151,15,169.80014278026,119.29,192.5,180.3,172.8,NA,179.53,173.7,163.4,160.9,156.4,167.9,165,164.2,174.8,NA,155.92,170.678801948052,169.80014278026,6.52895901960707,6.8652,16.8442721865477,4.18603551179768,168.750242935317,1.04989984494375
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",46,43.0834910408697,16,169.095161512722,85.74,144.5,157.1,157.4,NA,169.67,195,177.8,164.4,157,160.8,162.1,124.3,181.1,NA,140.98,167.056090909091,169.095161512722,5.82397775206869,6.8326,26.6669491800511,5.22371340238248,167.381059813107,1.7141016996155
"DENNISPITTA","Dennis Pitta","TE","BAL",47,92.52286088182,8,122.454249050191,12.17,141.8,134,142.6,142.6,134.68,146.5,117.1,114.1,117,109.2,111.8,89.7,129.2,NA,102.2,119.942692307692,122.454249050191,5.67534132099824,13.6217,33.3694147814603,6.70042777161813,120.129584685542,2.3246643646489
"PERCYHARVIN","Percy Harvin","WR","SEA",48,50.0260720756996,17,168.405324357911,-0.03,146.4,126.2,148.5,NA,162.28,147.3,192.8,161.2,150.5,158.7,185,166.7,171.2,NA,135.2,157.685734848485,168.405324357911,5.13414059725795,8.5913,45.8168719643038,7.45237251223967,166.179640863783,2.22568349412862
"JORDANREED","Jordan Reed","TE","WAS",49,91.2718945037246,9,120.544969881745,87.22,131.5,128.3,117.1,117.1,128.18,157.3,134.1,123.8,114.8,115.1,115.3,86.4,130.4,NA,102.6,123.715070512821,120.544969881745,3.76606215255252,18.2108,18.0657228711486,5.59587703320709,114.895876652916,5.64909322882878
"PIERREGARCON","Pierre Garcon","WR","WAS",50,37.7819005435877,18,166.356795268302,153.81,173.7,160.6,170.4,NA,166.86,177.6,159,164.6,169.8,173,166.1,125.6,171.8,NA,147.75,167.898295454545,166.356795268302,3.08561150764845,4.9913,13.5037378626711,3.62041758456624,164.31392820032,2.04286706798152
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",51,79.9883631971009,10,119.714199489338,105.3,123,131.9,116.8,116.8,124.73,151.9,124.5,114.5,131,109.9,116.2,83.5,114.2,NA,99.5,121.259490384615,119.714199489338,2.93529176014619,9.9326,15.6149013994417,4.40185853950296,109.776319710634,9.93787977870497
"RODDYWHITE","Roddy White","WR","ATL",52,37.9637104892289,19,166.002486459264,119.41,176.7,163.4,158.4,NA,168.69,175.4,177.9,164.6,166.9,163.7,167,177.2,176.1,NA,146.1,167.660083333333,166.002486459264,2.73130269861022,7.0326,15.6480607933829,4.07810952463119,161.905532411348,4.09695404791535
"MATTRYAN","Matt Ryan","QB","ATL",53,64.1619488624925,7,370.204105239093,285.11,361.98,352.24,314.48,338.48,340.122,306.96,326.8,333.72,312.4,317.94,315.5,341.62,334.48,NA,329.25,368.788291666667,370.204105239093,2.56815986866076,14.163,19.3145811606031,5.27148203799029,368.681058570708,1.52304666838478
"FRANKGORE","Frank Gore","RB","SF",54,51.2579122206563,18,213.251769584347,176.61,219.5,199.3,228.1,NA,216.3,254,231.2,200,199,200.2,212,147.9,176.5,NA,160.1,210.141702380952,213.251769584347,2.56129443286068,9.1891,28.8839136662835,5.72467673680164,211.748777295542,1.50299228880507
"REGGIEBUSH","Reggie Bush","RB","DET",55,39.8818401449567,19,212.534845120335,188.77,226.8,200.5,233,NA,212.35,217.6,202.8,219.9,239.4,209.2,230,188.1,186.2,NA,143.3,213.255395021645,212.534845120335,1.84436996884895,6.7826,25.1132740610605,5.05335714409379,209.768290167062,2.76655495327341
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",56,97.6512381719348,8,369.080280440385,340.94,359.32,306.76,345.06,340.2,331.972,322.96,330.68,337.52,355.3,331.08,345,343.2,324.84,NA,307.32,367.47225,369.080280440385,1.44433506995352,13.2152,15.1072216499578,4.71847733831102,367.966836567411,1.11344387297464
"CAMNEWTON","Cam Newton","QB","CAR",57,82.1298268572579,9,368.28183670103,292.55,324.94,334.1,328.26,325.62,326.764,350.76,335,358.02,339.4,345.76,359.9,330.82,347.44,NA,296.06,366.984791666667,368.28183670103,0.645891330598374,19.9543,19.3995961794005,5.93404201567196,367.312999705133,0.968836995897618
"RASHADJENNINGS","Rashad Jennings","RB","NYG",58,39.3991544191665,20,210.962709470749,210.1,212.9,200.3,209.4,NA,209.7,208.2,234.3,209.9,208,217.6,203.4,164.6,184.5,NA,158.7,210.784738095238,210.962709470749,0.272234319262253,7.3913,20.2024261408877,4.60142243056022,208.436726673028,2.5259827977203
"TOMBRADY","Tom Brady","QB","NE",59,62.7606200926112,10,367.651836433791,237.64,353.62,365.96,313.38,NA,337.838,340.7,314.44,325.82,346.6,328.04,355.1,312.42,340.68,NA,336.64,368.034716233766,367.651836433791,0.0158910633594473,10.3391,30.9601662307063,6.07456912857015,366.841999386555,0.809837047236044
"MICHAELFLOYD","Michael Floyd","WR","ARI",60,47.5302697805516,20,162.625369941377,151.33,172.2,165,151.6,NA,166.5,174.8,175.1,160.5,167.4,158.9,155,137.7,160.9,NA,144,162.996265151515,162.625369941377,-0.645813819276356,12.7543,11.2459466934966,4.25710956205023,159.110676063633,3.51469387774415
