"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",46,189.28404133587,200.26,188.3,195.8,195,192.6,189.71,206,177.4,183.1,189,179.2,193,168.9,203,NA,191.4,0,0,0,0,190.870819444444,189.28404133587,16.483547008547,9.92236449354977,1.78650958510338,3.19622402928122
"JORDYNELSON","Jordy Nelson","WR","GB",47,186.992987422488,187.8,187.2,192,188.6,185.3,186.26,183.8,175.9,190.8,183,180.3,196,187.4,190,NA,167.6,0,0,0,0,185.452277777778,186.992987422488,17.3746794871795,6.92607990548353,2.97976437765506,2.97983791593663
"ALFREDMORRIS","Alfred Morris","RB","WAS",48,186.920795176058,229.8,206.2,183.8,188.9,NA,188.9,172.8,183.6,177,178,173.2,181,239.5,192.3,NA,173.8,0,0,0,268.316182818205,188.098571428571,186.920795176058,19.2584401709402,20.7787401917451,3.54244921304912,4.66175192914771
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",49,185.747072493777,184.56,182.5,169.6,190.9,186.6,184.75,181.4,175.4,180.4,181.5,171.8,181,141.9,187.6,NA,175.01,0,0,0,11.4999912635844,180.428986111111,185.747072493777,24.4784188034188,11.6687691846961,4.58313856466514,3.71381107933156
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",50,185.097030842626,233.1,198.84,139.52,166.6,NA,167.428,178.18,173,202.04,202,151.78,167.9,243.94,160.32,NA,199.78,443.35,271.5,173.500007902903,36.5000273533951,186.1132,185.097030842626,177.9,29.9820848148716,14.2,6.93196942318312
"ANTONIOBROWN","Antonio Brown","WR","PIT",51,183.298175856249,165.7,185.5,171.5,190.2,185.5,184.69,181,187.6,178.7,179,173.2,187,169.1,189.9,NA,174.83,0,0,0,6.0000480186805,183.396694444444,183.298175856249,19.0711538461538,7.85009208317238,2.85693837430262,3.07405030260917
"ANDREELLINGTON","Andre Ellington","RB","ARI",52,180.770168784282,138.16,196,170,168.4,NA,180.7,211,192.1,164.9,173.5,170.3,185,193,191.6,NA,189.5,0,0,0,195.15,179.013214285714,180.770168784282,26.4540598290598,17.8260170401715,4.35281827383175,4.40753521957959
"ZACSTACY","Zac Stacy","RB","STL",53,179.320407372798,158.06,205.9,178.3,185.4,NA,191.4,184,203.3,168.5,172,171.6,177.5,182.7,187.4,NA,174.8,0,0,0,272.99999225195,180.001785714286,179.320407372798,25.3151709401709,13.0211136236499,4.29182730586401,3.83919177001302
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",54,178.719727569542,NA,241.12,137.3,177.74,NA,187.382,142.5,180.3,212.32,180.3,238.7,214,NA,150.28,NA,161.66,396.450009218652,232.35,162.5,69.99997242625,168.912597069597,178.719727569542,159,35.102164040602,25.3,8.77461020373453
"TOBYGERHART","Toby Gerhart","RB","JAC",55,170.710837620277,146.68,195.4,167.7,154.4,NA,179.29,200.6,203.4,166.6,174,165.4,187.5,166.9,175.5,NA,169.7,0,0,0,252.85544914831,171.622428571429,170.710837620277,38.9174145299145,16.6164961891608,6.79485977316343,4.53994047568695
