"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"CHRISGRAGG","Chris Gragg","TE","BUF",282,NA,83,11.1,NA,NA,NA,NA,NA,8.59,NA,NA,NA,4,15.8,6,NA,NA,NA,11.36,7.625,11.1,-86.1820757637192,NA,4.63317385816678,2.93334279186681,10.5533429921658,0.54665700783424
"STEDMANBAILEY","Stedman Bailey","WR","STL",283,NA,115,36.1046227496956,NA,NA,41.4,NA,NA,33.4,20.2,NA,38.6,87.5,45.2,39,19.4,NA,NA,26.81,39.17375,36.1046227496956,-86.5786493152081,NA,20.3535537437569,6.60754524528957,36.0108207127191,0.0938020369764772
"BEARPASCOE","Bear Pascoe","TE","ATL",284,NA,84,10.6866056545192,14.64,NA,NA,NA,NA,12,7.7,NA,NA,NA,4,2.5,NA,NA,NA,10.94,7.4052380952381,10.6866056545192,-86.5954701092,NA,4.74745826732579,2.96005360035719,10.2250415409525,0.461564113566697
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",285,NA,116,36.0711918017492,39,64.2,30.5,NA,NA,36.05,34.4,40.2,25.5,26.5,23.4,24,32.8,70.3,NA,13.98,36.8213138528139,36.0711918017492,-86.6120802631545,NA,15.8787288776284,5.56167913890895,35.9102248118445,0.160966989904672
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",286,NA,117,35.9504496236891,36.14,53.1,NA,NA,NA,29.9,NA,NA,22,12,13.9,24.5,94.6,NA,NA,NA,37.9833333333333,35.9504496236891,-86.7328224412147,NA,27.139394534777,8.19354717808998,35.8535428668742,0.0969067568148319
"DAVONEBESS","Davone Bess","WR",NA,287,NA,118,35.87,75.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.87,35.87,-86.8132720649037,NA,NA,NA,35.1682495562287,0.701750443771331
"ACESANDERS","Ace Sanders","WR","JAC",288,208,119,35.8370857337485,26.78,47.6,NA,41.4,NA,35.88,38.1,27.9,32.7,24,40.6,22.5,NA,80.1,NA,14.65,37.097,35.8370857337485,-86.8461863311553,11,16.7269288193402,5.02423916481419,34.2736757236127,1.56341001013578
"LEESMITH","Lee Smith","TE","BUF",289,NA,85,10.4200803298123,13.44,NA,NA,NA,NA,6.45,10.6,NA,6.5,NA,3.8,4,NA,NA,NA,11.36,6.99625,10.4200803298123,-86.8619954339068,NA,3.78445253007366,2.73497773907248,9.83750289794439,0.582577431867945
"MICHAELEGNEW","Michael Egnew","TE","MIA",290,NA,86,10.0300027520926,11.48,NA,NA,NA,NA,9.15,NA,NA,NA,9,11.2,12,NA,NA,NA,NA,10.536,10.0300027520926,-87.2520730116265,NA,1.39204166604308,2.17581810487853,9.60319964345638,0.426803108636262
"DONALDBROWN","Donald Brown","RB","SD",291,161.3,60,67.0727667312252,84.54,80.9,55.5,72.4,NA,65.48,62.3,50.4,65.2,58,71.4,69.5,31,54.4,NA,67.5,65.7011666666667,67.0727667312252,-87.302275705228,22.2,13.4513812355036,5.89696751231385,65.7432705200679,1.32949621115729
"GENOSMITH","Geno Smith","QB","NYJ",292,162.7,27,190.759634904497,193.78,211.74,188.78,180.92,NA,193.808,181.14,199.34,226.5,196.8,150.9,204.5,215.08,186.88,NA,212.46,187.412319047619,190.759634904497,-87.3175096073685,21.2,18.6550855264724,6.39297890120969,181.908379206084,8.85125569841244
"TAYLORTHOMPSON","Taylor Thompson","TE","TEN",293,NA,87,9.64500304379613,NA,NA,NA,NA,NA,6.79,2.5,NA,3.6,35.5,19.2,18.5,NA,NA,NA,NA,12.2985714285714,9.64500304379613,-87.6370727199231,NA,12.6586419756097,4.80907320433628,8.81343791710882,0.831565126687309
"DANTEROSARIO","Dante Rosario","TE","CHI",294,NA,88,9.56139624311664,0.66,NA,NA,NA,NA,13.54,NA,NA,4,5,12.3,9.5,NA,NA,NA,NA,6.42095238095238,9.56139624311664,-87.7206795206025,NA,5.07557287407047,3.03674128232664,7.9839897955505,1.57740644756613
