"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"RANDALLCOBB","WR","yahoo","Randall Cobb","GB",7,46,0,0,0,14.3,107,0.3,93.3,131,1272,8.5,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.99
"JUSTINFORSETT","RB","yahoo","Justin Forsett","BAL",12,47,0,0,0,229,1055,5,53.8,68.1,416,1.8,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.75
"FRANKGORE","RB","yahoo","Frank Gore","IND",13,48,0,0,0,253,1038,6.8,36.4,46,296,1.6,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.09
"ARIANFOSTER","RB","yahoo","Arian Foster","HOU",14,49,0,0,0,224,1024,5.3,43.7,56.9,343,1.9,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.54
"MARKINGRAM","RB","yahoo","Mark Ingram","NO",15,50,0,0,0,224,927,9.7,28.7,35.1,218,1.1,0,0.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.15
"JOSHMCCOWN","QB","yahoo","Josh McCown","CLE",29,51,2974,12.9,13.8,42,206,1.9,0,0,0,0,0,0.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.46
"ALSHONJEFFERY","WR","yahoo","Alshon Jeffery","CHI",8,52,0,0,0,7.7,50.8,0.1,86.5,144,1198,8.2,0,0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.89
"CARLOSHYDE","RB","yahoo","Carlos Hyde","SF",16,53,0,0,0,250,1043,8.4,22.6,28.6,179,0.6,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.67
"ROBGRONKOWSKI","TE","yahoo","Rob Gronkowski","NE",1,54,0,0,0,0,0,0,90.4,141,1120,10,0,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.06
"AJGREEN","WR","yahoo","A.J. Green","CIN",9,55,0,0,0,4.6,30.5,0.1,85.3,143,1202,8.1,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.87
"TODDGURLEY","RB","yahoo","Todd Gurley","STL",17,56,0,0,0,235,1077,6.6,22.7,27.9,182,0.7,0,0.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.15
"ALFREDMORRIS","RB","yahoo","Alfred Morris","WAS",18,57,0,0,0,245,1043,7.3,21.3,27.1,165,0.6,0,0.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.88
"LATAVIUSMURRAY","RB","yahoo","Latavius Murray","OAK",19,58,0,0,0,240,1046,5.7,29.9,38.1,231,0.8,0,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.47
"MIKEEVANS","WR","yahoo","Mike Evans","TB",10,59,0,0,0,0,0,0,83.4,141,1246,6.8,0,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.4
"BRANDINCOOKS","WR","yahoo","Brandin Cooks","NO",11,60,0,0,0,12.2,80.8,0.3,83.9,123,1157,6.2,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.7
"ANDREELLINGTON","RB","yahoo","Andre Ellington","ARZ",20,61,0,0,0,193,758,4.8,51.8,65.8,471,1.8,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.67
"JONATHANSTEWART","RB","yahoo","Jonathan Stewart","CAR",21,62,0,0,0,235,1079,5.2,26.6,33.4,185,0.9,0,0.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.28
"RYANFITZPATRICK","QB","yahoo","Ryan Fitzpatrick","NYJ",30,63,2433,13.8,11.2,37.8,157,1.2,0,0,0,0,0,0.4,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.96
"MELVINGORDON","RB","yahoo","Melvin Gordon","SD",22,64,0,0,0,253,1115,4.9,20.9,26.4,166,0.8,0,0.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.19
"TYHILTON","WR","yahoo","T.Y. Hilton","IND",12,65,0,0,0,3.9,25.7,0.1,79.8,127,1108,7.7,0,0.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.28
"EMMANUELSANDERS","WR","yahoo","Emmanuel Sanders","DEN",13,66,0,0,0,9,59.6,0.2,79.2,122,1101,6.8,0,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.68
"TJYELDON","RB","yahoo","T.J. Yeldon","JAC",23,67,0,0,0,226,961,6.2,28.5,35.6,227,0.8,0,0.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5
"LEGARRETTEBLOUNT","RB","yahoo","LeGarrette Blount","NE",24,68,0,0,0,216,975,8.7,8.4,11,65.7,0.4,0,0.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.62
"CHRISIVORY","RB","yahoo","Chris Ivory","NYJ",25,69,0,0,0,232,1017,5.1,27,35.6,196,1,0,0.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.11
"PHILDAWSON","K","yahoo","Phil Dawson","SF",1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,9.4,9,9.3,5.3,149.96
"KEENANALLEN","WR","yahoo","Keenan Allen","SD",14,71,0,0,0,0,0,0,84,127,1134,6.1,0,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.39
"KIRKCOUSINS","QB","yahoo","Kirk Cousins","WAS",31,72,2666,12.6,12.4,12.9,50.2,0.5,0,0,0,0,0,0.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.65
"JULIANEDELMAN","WR","yahoo","Julian Edelman","NE",15,73,0,0,0,9,59.5,0.2,98.6,136,1018,6.9,0,0.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.39
"BUFFALOBILLS","DST","yahoo","Buffalo Bills","BUF",1,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2,0.1,16.6,10.4,0.7,4.3,NA,NA,NA,NA,NA,147.73
"SEATTLESEAHAWKS","DST","yahoo","Seattle Seahawks","SEA",2,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,0.9,13.6,10.8,0.5,6.3,NA,NA,NA,NA,NA,145.89
"STEPHENGOSTKOWSKI","K","yahoo","Stephen Gostkowski","NE",2,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,7.4,9.2,9,1.9,145
"CJSPILLER","RB","yahoo","C.J. Spiller","NO",26,77,0,0,0,97.9,450,2.7,67.8,82,566,2.8,2.4,0.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.67
"DEVONTAFREEMAN","RB","yahoo","Devonta Freeman","ATL",27,78,0,0,0,165,654,5.2,41.6,50.4,397,1.4,0,0.2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.59
"JOSEPHRANDLE","RB","yahoo","Joseph Randle","DAL",28,79,0,0,0,217,958,6.4,12.2,14.9,99.4,0.6,0,0.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.27
"JOSHSCOBEE","K","yahoo","Josh Scobee","PIT",3,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,10.9,10,9,1.4,142.53
"MATTBRYANT","K","yahoo","Matt Bryant","ATL",4,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,9.1,7,7.5,4.4,142.49
"JOIQUEBELL","RB","yahoo","Joique Bell","DET",29,82,0,0,0,196,747,6.5,30,38.9,231,1,0,0.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
"ANDREJOHNSON","WR","yahoo","Andre Johnson","IND",16,83,0,0,0,0,0,0,71.6,115,906,8.4,0,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.64
"MASONCROSBY","K","yahoo","Mason Crosby","GB",5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,7.6,7.5,6.5,4,139.35
"HOUSTONTEXANS","DST","yahoo","Houston Texans","HOU",3,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,0.5,15.8,12.5,0.5,3.3,NA,NA,NA,NA,NA,139.35
"DEANDREHOPKINS","WR","yahoo","DeAndre Hopkins","HOU",17,86,0,0,0,0,0,0,80.3,132,1141,4.4,0,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.53
"JORDANMATTHEWS","WR","yahoo","Jordan Matthews","PHI",18,87,0,0,0,0,0,0,76.5,125,943,7.3,0,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.96
"BRIANHOYER","QB","yahoo","Brian Hoyer","HOU",32,88,2434,11.6,10.1,23,34.6,0.5,0,0,0,0,0,0.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.65
"DUSTINHOPKINS","K","yahoo","Dustin Hopkins","NO",6,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,8.2,8.4,7,1.8,137.13
"JUSTINTUCKER","K","yahoo","Justin Tucker","BAL",7,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,8.2,8.9,7,4,137.06
