"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"MATTBRYANT","K","espn","Matt Bryant","ATL",5,87,0,0,0,0,0,0,0,0,0,0,0,137
"BUFFALOBILLS","DST","espn","Buffalo Bills","BUF",2,88,0,0,0,0,0,0,0,0,0,0,0,137
"DEVONTAFREEMAN","RB","espn","Devonta Freeman","ATL",31,89,0,0,0,0,0,162,641,5,41,389,1,136.4
"MATTPRATER","K","espn","Matt Prater","DET",6,90,0,0,0,0,0,0,0,0,0,0,0,136
"DANBAILEY","K","espn","Dan Bailey","DAL",7,91,0,0,0,0,0,0,0,0,0,0,0,136
"ANDREJOHNSON","WR","espn","Andre Johnson","IND",21,92,0,0,0,0,0,0,0,0,71,895,8,135.1
"KIRKCOUSINS","QB","espn","Kirk Cousins","WAS",31,93,371,227,2640,13,12,13,51,0,0,0,0,134.8
"CODYPARKEY","K","espn","Cody Parkey","PHI",8,94,0,0,0,0,0,0,0,0,0,0,0,134
"DANCARPENTER","K","espn","Dan Carpenter","BUF",9,95,0,0,0,0,0,0,0,0,0,0,0,134
"MASONCROSBY","K","espn","Mason Crosby","GB",10,96,0,0,0,0,0,0,0,0,0,0,0,134
"CALEBSTURGIS","K","espn","Caleb Sturgis","MIA",11,97,0,0,0,0,0,0,0,0,0,0,0,134
"SAMMYWATKINS","WR","espn","Sammy Watkins","BUF",22,98,0,0,0,0,0,5,31,0,72,969,6,133
"ALLENROBINSON","WR","espn","Allen Robinson","JAC",23,99,0,0,0,0,0,0,0,0,79,1039,5,133
"BLAIRWALSH","K","espn","Blair Walsh","MIN",12,100,0,0,0,0,0,0,0,0,0,0,0,133
"AMARICOOPER","WR","espn","Amari Cooper","OAK",24,101,0,0,0,0,0,4,25,0,77,1027,5,132
"HOUSTONTEXANS","DST","espn","Houston Texans","HOU",3,102,0,0,0,0,0,0,0,0,0,0,0,132
"BRIANHOYER","QB","espn","Brian Hoyer","HOU",32,103,339,202,2464,12,10,23,34,1,0,0,0,131.7
"JIMMYGRAHAM","TE","espn","Jimmy Graham","SEA",2,104,0,0,0,0,0,0,0,0,65,774,9,130.1
"VINCENTJACKSON","WR","espn","Vincent Jackson","TB",25,105,0,0,0,0,0,0,0,0,65,1001,5,130
"BRANDONMCMANUS","K","espn","Brandon McManus","DEN",13,106,0,0,0,0,0,0,0,0,0,0,0,130
"SHAUNSUISHAM","K","espn","Shaun Suisham","PIT",14,107,0,0,0,0,0,0,0,0,0,0,0,130
"JARVISLANDRY","WR","espn","Jarvis Landry","MIA",26,108,0,0,0,0,0,4,26,0,91,962,5,129.6
"JEREMYMACLIN","WR","espn","Jeremy Maclin","KC",27,109,0,0,0,0,0,0,0,0,77,997,5,129.4
"NICKNOVAK","K","espn","Nick Novak","SD",15,110,0,0,0,0,0,0,0,0,0,0,0,129
"GREGZUERLEIN","K","espn","Greg Zuerlein","STL",16,111,0,0,0,0,0,0,0,0,0,0,0,129
"ISAIAHCROWELL","RB","espn","Isaiah Crowell","CLE",32,112,0,0,0,0,0,219,945,5,11,85,0,128.4
