"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"AUSTINDAVIS","QB","fp","Austin Davis","STL",48,464,21.9,13.2,148,0.8,0.6,1.4,3.8,0,NA,NA,NA,NA,NA,0.2,NA,NA,8.2
"RYANSPADOLA","WR","fp","Ryan Spadola","ARI",157,465,NA,NA,NA,NA,NA,0,0,0,5.1,64.6,0.3,NA,NA,0,NA,NA,8.1
"JOSHHARRIS","RB","fp","Josh Harris","PIT",144,466,NA,NA,NA,NA,NA,13.5,51.3,0.3,1.5,9.7,0,NA,NA,0.1,NA,NA,7.9
"RYANTAYLOR","TE","fp","Ryan Taylor","KC",85,467,NA,NA,NA,NA,NA,NA,NA,NA,5.8,54.8,0.4,NA,NA,0,NA,NA,7.9
"DUJUANHARRIS","RB","fp","DuJuan Harris","MIN",145,468,NA,NA,NA,NA,NA,8,28.7,0.1,3.8,36.5,0.1,NA,NA,0,NA,NA,7.8
"CHASEDANIEL","QB","fp","Chase Daniel","KC",49,469,18.1,10.8,117.9,0.7,0.3,1.9,8.7,0,NA,NA,NA,NA,NA,0.1,NA,NA,7.7
"DEONTETHOMPSON","WR","fp","Deonte Thompson","BUF",158,470,NA,NA,NA,NA,NA,0,0,0,5.1,59.9,0.3,NA,NA,0,NA,NA,7.7
"BRIANTYMS","WR","fp","Brian Tyms","NE",159,471,NA,NA,NA,NA,NA,0,0,0,6,77,0,NA,NA,0,NA,NA,7.7
"KEVINDORSEY","WR","fp","Kevin Dorsey","NE",160,472,NA,NA,NA,NA,NA,0,0,0,4.7,55.5,0.4,NA,NA,0,NA,NA,7.7
"JOHNPHILLIPS","TE","fp","John Phillips","SD",86,473,NA,NA,NA,NA,NA,NA,NA,NA,5.2,55,0.4,NA,NA,0.1,NA,NA,7.7
"BRANDONBOSTICK","TE","fp","Brandon Bostick","MIN",87,474,NA,NA,NA,NA,NA,NA,NA,NA,3.6,37,0.7,NA,NA,0,NA,NA,7.7
"SEANTAVIUSJONES","WR","fp","Seantavius Jones","NO",161,475,NA,NA,NA,NA,NA,0,0,0,3.9,58.9,0.3,NA,NA,0.1,NA,NA,7.6
"MIKEGLENNON","QB","fp","Mike Glennon","TB",50,476,18.9,11.1,129.1,0.8,0.7,3.6,7.8,0,NA,NA,NA,NA,NA,0.1,NA,NA,7.5
"BLAINEGABBERT","QB","fp","Blaine Gabbert","SF",51,477,20.1,11.9,135.8,0.5,0.4,2.5,8.6,0,NA,NA,NA,NA,NA,0.2,NA,NA,7.5
"ERICWEEMS","WR","fp","Eric Weems","ATL",162,478,NA,NA,NA,NA,NA,0,0,0,4.3,57.1,0.3,NA,NA,0,NA,NA,7.5
"TREYBURTON","TE","fp","Trey Burton","PHI",88,479,NA,NA,NA,NA,NA,NA,NA,NA,5.1,51.8,0.4,NA,NA,0,NA,NA,7.5
"STEFONDIGGS","WR","fp","Stefon Diggs","MIN",163,480,NA,NA,NA,NA,NA,0,0,0,4.7,62.1,0.2,NA,NA,0,NA,NA,7.4
"CHRISGIVENS","WR","fp","Chris Givens","STL",164,481,NA,NA,NA,NA,NA,0,0.1,0,4.7,67.8,0.1,NA,NA,0,NA,NA,7.3
"TYMONTGOMERY","WR","fp","Ty Montgomery","GB",165,482,NA,NA,NA,NA,NA,1,6.6,0,3.4,45.8,0.3,NA,NA,0,NA,NA,7.2
"PHILLIPSUPERNAW","TE","fp","Phillip Supernaw","TEN",89,483,NA,NA,NA,NA,NA,NA,NA,NA,5.7,48.7,0.4,NA,NA,0,NA,NA,7.2
"JORDANTODMAN","RB","fp","Jordan Todman","CAR",146,484,NA,NA,NA,NA,NA,8,37.5,0.2,2.7,18.5,0.1,NA,NA,0.1,NA,NA,7.1
"JJNELSON","WR","fp","J.J. Nelson","ARI",166,485,NA,NA,NA,NA,NA,0,0,0,4.3,53.6,0.3,NA,NA,0,NA,NA,7.1
"DEVIERPOSEY","WR","fp","DeVier Posey","NYJ",167,486,NA,NA,NA,NA,NA,0,0,0,4.8,60.4,0.2,NA,NA,0,NA,NA,7.1
"BRUCEGRADKOWSKI","QB","fp","Bruce Gradkowski","PIT",52,487,17.8,10.5,121.2,0.8,0.5,0.9,2.1,0,NA,NA,NA,NA,NA,0.1,NA,NA,7
"LAMICHAELJAMES","RB","fp","LaMichael James","MIA",147,488,NA,NA,NA,NA,NA,8.8,31.5,0.3,3.4,22.9,0.1,NA,NA,0.2,NA,NA,7
