"name","pos","sourceName","name_fox","team_fox","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"KENBRELLTHOMPKINS","WR","fox","Kenbrell Thompkins","OAK",134,308,NA,NA,NA,NA,NA,0,0,0,5,55,0,NA,0,0,8.4
"JASONAVANT","WR","fox","Jason Avant","KC",135,309,NA,NA,NA,NA,NA,0,0,0,3,50,1,NA,0,0,8.3
"SAMMIECOATES","WR","fox","Sammie Coates","PIT",136,310,NA,NA,NA,NA,NA,0,0,0,5,52,0,NA,0,0,8
"VICKBALLARD","RB","fox","Vick Ballard","IND",91,311,NA,NA,NA,NA,NA,7,22,0,2,15,0,NA,0,0,7.6
"BRANDONBOLDEN","RB","fox","Brandon Bolden","NE",92,312,NA,NA,NA,NA,NA,12,38,0,2,12,0,NA,0,0,7.5
"KENNYBELL","WR","fox","Kenny Bell","TB",137,312,NA,NA,NA,NA,NA,0,0,0,4,53,0,NA,0,0,7.5
"TANDONDOSS","WR","fox","Tandon Doss","JAC",138,314,NA,NA,NA,NA,NA,0,0,0,3,50,0,NA,0,0,7.3
"VINCEMAYLE","WR","fox","Vince Mayle","CLE",139,315,NA,NA,NA,NA,NA,0,0,0,4,48,0,NA,0,0,7
"MYLESWHITE","WR","fox","Myles White","GB",140,316,NA,NA,NA,NA,NA,0,0,0,2,43,0,NA,0,0,6.9
"THEORIDDICK","RB","fox","Theo Riddick","DET",93,317,NA,NA,NA,NA,NA,8,23,0,2,12,0,NA,0,0,6.7
"RYANGRANT","WR","fox","Ryan Grant","WAS",141,318,NA,NA,NA,NA,NA,0,0,0,4,44,0,NA,0,0,6.5
"JUSTINHUNTER","WR","fox","Justin Hunter","TEN",142,319,NA,NA,NA,NA,NA,0,0,0,3,40,0,NA,0,0,6.4
"DAMARISJOHNSON","WR","fox","Damaris Johnson","HOU",143,320,NA,NA,NA,NA,NA,0,0,0,2,37,0,NA,0,0,5.8
"ANTONESMITH","RB","fox","Antone Smith","ATL",94,321,NA,NA,NA,NA,NA,6,22,0,1,8,0,NA,0,0,5.7
"CHARCANDRICKWEST","RB","fox","Charcandrick West","KC",95,322,NA,NA,NA,NA,NA,13,37,0,0,1,0,NA,0,0,5.3
