"name","pos","sourceName","name_cbs","team_cbs","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp","points"
"KANSASCITYCHIEFS","DST","cbs","Kansas City Chiefs","KC",13,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5777,42,1,17,12,17,5,NA,NA,NA,164
"PHILADELPHIAEAGLES","DST","cbs","Philadelphia Eagles","PHI",14,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6164,44,0,15,14,19,5,NA,NA,NA,164
"WASHINGTONREDSKINS","DST","cbs","Washington Redskins","WAS",15,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6264,43,0,15,17,23,4,NA,NA,NA,163
"ROBGRONKOWSKI","TE","cbs","Rob Gronkowski","NE",1,71,NA,NA,NA,NA,NA,NA,NA,NA,78,1095,10,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.6
"NEWYORKGIANTS","DST","cbs","New York Giants","NYG",16,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6452,48,0,18,13,18,3,NA,NA,NA,160
"ATLANTAFALCONS","DST","cbs","Atlanta Falcons","ATL",17,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5942,30,0,17,15,20,5,NA,NA,NA,156
"INDIANAPOLISCOLTS","DST","cbs","Indianapolis Colts","IND",18,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5972,43,1,16,14,19,3,NA,NA,NA,155
"DALLASCOWBOYS","DST","cbs","Dallas Cowboys","DAL",19,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6140,34,0,17,18,25,3,NA,NA,NA,154
"TENNESSEETITANS","DST","cbs","Tennessee Titans","TEN",20,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5585,44,0,18,9,13,4,NA,NA,NA,154
"CHICAGOBEARS","DST","cbs","Chicago Bears","CHI",21,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6193,42,0,16,12,16,4,NA,NA,NA,154
"TAMPABAYBUCCANEERS","DST","cbs","Tampa Bay Buccaneers","TB",22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5978,37,0,16,14,19,4,NA,NA,NA,153
"NEWORLEANSSAINTS","DST","cbs","New Orleans Saints","NO",23,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5881,45,0,18,11,15,3,NA,NA,NA,153
"TYHILTON","WR","cbs","T.Y. Hilton","IND",11,80,NA,NA,NA,NA,NA,NA,NA,NA,88,1308,5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.4
"PITTSBURGHSTEELERS","DST","cbs","Pittsburgh Steelers","PIT",24,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5556,34,1,17,13,18,4,NA,NA,NA,152
"JACKSONVILLEJAGUARS","DST","cbs","Jacksonville Jaguars","JAC",25,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5478,40,0,14,14,19,4,NA,NA,NA,152
"ALSHONJEFFERY","WR","cbs","Alshon Jeffery","CHI",12,83,NA,NA,NA,NA,NA,NA,NA,NA,84,1058,8.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
"NEWENGLANDPATRIOTS","DST","cbs","New England Patriots","NE",26,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6233,40,0,18,12,17,3,NA,NA,NA,150
"LATAVIUSMURRAY","RB","cbs","Latavius Murray","OAK",14,85,NA,NA,NA,NA,NA,223,967,6.4,29.1,264,0.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.6
"DETROITLIONS","DST","cbs","Detroit Lions","DET",27,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5347,41,0,17,11,16,3,NA,NA,NA,147
"MARKINGRAM","RB","cbs","Mark Ingram","NO",15,87,NA,NA,NA,NA,NA,208,974,7.6,30,170,0.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.8
"JUSTINTUCKER","K","cbs","Justin Tucker","BAL",1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,37.1,39.1,145.5
"ARIANFOSTER","RB","cbs","Arian Foster","HOU",16,89,NA,NA,NA,NA,NA,193,839,5.6,30.6,261,3.2,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.4
"JULIANEDELMAN","WR","cbs","Julian Edelman","NE",13,90,NA,NA,NA,NA,NA,NA,NA,NA,101,1066,6.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143
"DENVERBRONCOS","DST","cbs","Denver Broncos","DEN",28,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4921,35,0,18,10,13,3,NA,NA,NA,141
"MATTBRYANT","K","cbs","Matt Bryant","ATL",2,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,33.4,37.5,140.1
"DANCARPENTER","K","cbs","Dan Carpenter","BUF",3,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,35.8,33.4,140
"ALFREDMORRIS","RB","cbs","Alfred Morris","WAS",17,94,NA,NA,NA,NA,NA,230,1013,6.5,17.4,135,0.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.2
"MINNESOTAVIKINGS","DST","cbs","Minnesota Vikings","MIN",29,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5618,41,0,14,10,14,3,NA,NA,NA,139
"JEREMYMACLIN","WR","cbs","Jeremy Maclin","KC",14,96,NA,NA,NA,NA,NA,NA,NA,NA,69,888,9.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.4
"MIKEWALLACE","WR","cbs","Mike Wallace","MIN",15,97,NA,NA,NA,NA,NA,NA,NA,NA,64,978,7.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.4
"ANDREELLINGTON","RB","cbs","Andre Ellington","ARZ",18,98,NA,NA,NA,NA,NA,213,815,3.2,51,459,2.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.2
"MASONCROSBY","K","cbs","Mason Crosby","GB",4,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,34.7,41.4,137.1
"RASHADJENNINGS","RB","cbs","Rashad Jennings","NYG",19,100,NA,NA,NA,NA,NA,208,832,4.7,47.9,392,0.9,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
"BRANDINCOOKS","WR","cbs","Brandin Cooks","NO",16,101,NA,NA,NA,NA,NA,NA,NA,NA,90,1026,5.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.6
"GOLDENTATE","WR","cbs","Golden Tate","DET",17,102,NA,NA,NA,NA,NA,NA,NA,NA,85,1152,4.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.6
"STEPHENGOSTKOWSKI","K","cbs","Stephen Gostkowski","NE",5,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6,32.4,40.8,136.6
"CODYPARKEY","K","cbs","Cody Parkey","PHI",6,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,32.8,42.9,136.2
"ADAMVINATIERI","K","cbs","Adam Vinatieri","IND",7,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,32.7,39.7,135.1
"BRANDONMCMANUS","K","cbs","Brandon McManus","DEN",8,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,40.2,45,135.1
"JOIQUEBELL","RB","cbs","Joique Bell","DET",20,107,NA,NA,NA,NA,NA,180,752,6,37.8,379,0.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.8
"JIMMYGRAHAM","TE","cbs","Jimmy Graham","SEA",2,108,NA,NA,NA,NA,NA,NA,NA,NA,60,850,9.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.8
"CHANDLERCATANZARO","K","cbs","Chandler Catanzaro","ARZ",9,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,37.8,30.7,134.3
